head,relation,tail,head_type,tail_type
237,CGI-U,C2CD2L,compound,gene
237,CGI-U,KDM5B,compound,gene
237,CGI-U,FOXO4,compound,gene
237,CGI-U,APPBP2,compound,gene
237,CGI-U,GATA2,compound,gene
237,CGI-U,COL11A1,compound,gene
237,CGI-U,CDK5R1,compound,gene
237,CGI-U,CCP110,compound,gene
237,CGI-U,LSR,compound,gene
237,CGI-U,TXNIP,compound,gene
237,CGI-U,CES1,compound,gene
237,CGI-U,ATF5,compound,gene
237,CGI-U,CSNK2A2,compound,gene
237,CGI-U,UBE3B,compound,gene
237,CGI-U,RBKS,compound,gene
237,CGI-U,MCOLN1,compound,gene
237,CGI-U,CEMIP2,compound,gene
237,CGI-U,ABCC5,compound,gene
237,CGI-U,MAGEA6,compound,gene
237,CGI-U,RMND5A,compound,gene
237,CGI-U,CDK19,compound,gene
237,CGI-U,DPEP3,compound,gene
237,CGI-U,ADIPOR1,compound,gene
237,CGI-U,HES1,compound,gene
237,CGI-U,CDKN1A,compound,gene
237,CGI-U,RAI2,compound,gene
237,CGI-U,INSIG1,compound,gene
237,CGI-U,TBX2,compound,gene
237,CGI-U,TKTL1,compound,gene
237,CGI-U,ST3GAL5,compound,gene
237,CGI-U,PTGS2,compound,gene
237,CGI-U,SPAG4,compound,gene
237,CGI-U,OVGP1,compound,gene
237,CGI-U,DDB2,compound,gene
237,CGI-U,ICAM1,compound,gene
237,CGI-U,CTNNAL1,compound,gene
237,CGI-U,GRM6,compound,gene
237,CGI-U,RGS16,compound,gene
237,CGI-U,UBL5,compound,gene
237,CGI-U,AGPAT1,compound,gene
237,CGI-U,SESN1,compound,gene
237,CGI-U,HADHB,compound,gene
237,CGI-U,CBLB,compound,gene
237,CGI-U,MAGEC1,compound,gene
237,CGI-U,DKKL1,compound,gene
237,CGI-U,OSTM1,compound,gene
237,CGI-U,ID2,compound,gene
237,CGI-U,PPARG,compound,gene
237,CGI-U,MAL,compound,gene
237,CGI-U,ATP10D,compound,gene
237,CGI-U,ITIH3,compound,gene
237,CGI-U,ZCCHC14,compound,gene
237,CGI-U,BBIP1,compound,gene
237,CGI-U,XIST,compound,gene
237,CGI-U,GLRX,compound,gene
237,CGI-U,CTSO,compound,gene
237,CGI-U,BAG6,compound,gene
237,CGI-U,ATP6V0B,compound,gene
237,CGI-U,CEP15,compound,gene
237,CGI-U,LEF1,compound,gene
237,CGI-U,MARK4,compound,gene
237,CGI-U,WIF1,compound,gene
237,CGI-U,TMCO1,compound,gene
237,CGI-U,NR4A2,compound,gene
237,CGI-U,RAB3A,compound,gene
237,CGI-U,HS2ST1,compound,gene
237,CGI-U,WDR26,compound,gene
237,CGI-U,THBS2,compound,gene
237,CGI-U,ANKRD13C-DT,compound,gene
237,CGI-U,P4HA1,compound,gene
237,CGI-U,YES1,compound,gene
237,CGI-U,PPM1D,compound,gene
237,CGI-U,FMR1,compound,gene
237,CGI-U,DCN,compound,gene
237,CGI-U,BBC3,compound,gene
237,CGI-U,HECA,compound,gene
237,CGI-U,SERPINF1,compound,gene
237,CGI-U,HERC6,compound,gene
237,CGI-U,HMGN5,compound,gene
237,CGI-U,TRIP12,compound,gene
237,CGI-U,SATB1,compound,gene
237,CGI-U,VCAN,compound,gene
237,CGI-U,TMEM183A,compound,gene
237,CGI-U,EGR1,compound,gene
237,CGI-U,PDHX,compound,gene
237,CGI-U,PDHB,compound,gene
237,CGI-U,NUAK1,compound,gene
237,CGI-U,PIBF1,compound,gene
237,CGI-U,CELSR3,compound,gene
237,CGI-U,BNIP3L,compound,gene
237,CGI-U,FURIN,compound,gene
237,CGI-U,YPEL5,compound,gene
237,CGI-U,AOX1,compound,gene
237,CGI-U,EMCN,compound,gene
237,CGI-U,SUPT4H1,compound,gene
237,CGI-U,PDK4,compound,gene
237,CGI-U,ADGRF5,compound,gene
237,CGI-U,FAM8A1,compound,gene
237,CGI-U,FAS,compound,gene
237,CGI-U,PSME2,compound,gene
237,CGI-U,CETN3,compound,gene
237,CGI-U,MCFD2,compound,gene
237,CGI-U,DIS3,compound,gene
237,CGI-U,TMEM59,compound,gene
237,CGI-U,USP33,compound,gene
237,CGI-U,CNOT4,compound,gene
237,CGI-U,TRIM24,compound,gene
237,CGI-U,FKBP6,compound,gene
237,CGI-U,EPYC,compound,gene
237,CGI-U,GADD45B,compound,gene
237,CGI-U,RBX1,compound,gene
237,CGI-U,NCOA3,compound,gene
237,CGI-U,NID1,compound,gene
237,CGI-U,RBM8A,compound,gene
237,CGI-U,BMPR2,compound,gene
237,CGI-U,ALDOC,compound,gene
237,CGI-U,ROBO1,compound,gene
237,CGI-U,COL10A1,compound,gene
237,CGI-U,STC1,compound,gene
237,CGI-U,PRKCH,compound,gene
237,CGI-U,IZUMO4,compound,gene
237,CGI-U,VAV3,compound,gene
237,CGI-U,DUSP9,compound,gene
237,CGI-U,CGRRF1,compound,gene
237,CGI-U,FBXL12,compound,gene
237,CGI-U,PHF1,compound,gene
237,CGI-U,AGL,compound,gene
237,CGI-U,ERAP2,compound,gene
237,CGI-U,RNF122,compound,gene
237,CGI-U,HOXB3,compound,gene
237,CGI-U,ST7,compound,gene
237,CGI-U,DCAF6,compound,gene
237,CGI-U,CTF1,compound,gene
237,CGI-U,ERLIN2,compound,gene
237,CGI-U,CPT2,compound,gene
237,CGI-U,FGL1,compound,gene
237,CGI-U,NXPH4,compound,gene
237,CGI-U,EGF,compound,gene
237,CGI-U,DECR1,compound,gene
237,CGI-U,F13A1,compound,gene
237,CGI-U,SDHC,compound,gene
237,CGI-U,SLC34A2,compound,gene
237,CGI-U,SH3BGRL,compound,gene
237,CGI-U,CALCOCO1,compound,gene
237,CGI-U,LZTFL1,compound,gene
237,CGI-U,FAM110D,compound,gene
237,CGI-U,STX11,compound,gene
237,CGI-U,CDH6,compound,gene
237,CGI-U,MED14,compound,gene
237,CGI-U,SLC6A16,compound,gene
237,CGI-U,TMPRSS2,compound,gene
237,CGI-U,PPP2R5A,compound,gene
237,CGI-U,GPN3,compound,gene
237,CGI-U,GNG4,compound,gene
237,CGI-U,ZFPM2,compound,gene
237,CGI-U,CXCR4,compound,gene
237,CGI-U,ETV7,compound,gene
237,CGI-U,MMP19,compound,gene
237,CGI-U,MLLT11,compound,gene
237,CGI-U,PLPPR2,compound,gene
237,CGI-U,H2BC21,compound,gene
237,CGI-U,SIRT1,compound,gene
237,CGI-U,AURKA,compound,gene
237,CGI-U,TESMIN,compound,gene
237,CGI-U,FOXI1,compound,gene
237,CGI-U,CUBN,compound,gene
237,CGI-U,HSD17B6,compound,gene
237,CGI-U,PILRA,compound,gene
237,CGI-U,DPYS,compound,gene
237,CGI-U,CDKL3,compound,gene
237,CGI-U,AGBL5,compound,gene
237,CGI-U,RBBP6,compound,gene
237,CGI-U,ELAVL3,compound,gene
