head,relation,tail,head_type,tail_type
24360,CMI-D,52924644,compound,metabolite
24360,CMI-D,24778634,compound,metabolite
24360,CMI-D,53481751,compound,metabolite
24360,CMI-D,24779545,compound,metabolite
24360,CMI-D,52924353,compound,metabolite
24360,CMI-D,24778715,compound,metabolite
24360,CMI-D,24778898,compound,metabolite
24360,CMI-D,16219824,compound,metabolite
24360,CMI-D,53479772,compound,metabolite
24360,CMI-D,52923950,compound,metabolite
24360,CMI-D,24778868,compound,metabolite
24360,CMI-D,24778735,compound,metabolite
24360,CMI-D,24779554,compound,metabolite
24360,CMI-D,52924152,compound,metabolite
24360,CMI-D,52923087,compound,metabolite
24360,CMI-D,52924125,compound,metabolite
24360,CMI-D,52925126,compound,metabolite
24360,CMI-D,52923894,compound,metabolite
24360,CMI-D,52923972,compound,metabolite
24360,CMI-D,24778699,compound,metabolite
24360,CMI-D,52925065,compound,metabolite
24360,CMI-D,131750353,compound,metabolite
24360,CMI-D,52923906,compound,metabolite
24360,CMI-D,53479161,compound,metabolite
24360,CMI-D,52924378,compound,metabolite
24360,CMI-D,10747814,compound,metabolite
24360,CMI-D,52925469,compound,metabolite
24360,CMI-D,52923852,compound,metabolite
24360,CMI-D,52923946,compound,metabolite
24360,CMI-D,24779052,compound,metabolite
24360,CMI-D,53481787,compound,metabolite
24360,CMI-D,24778871,compound,metabolite
24360,CMI-D,24778855,compound,metabolite
24360,CMI-D,52925059,compound,metabolite
24360,CMI-D,53481757,compound,metabolite
24360,CMI-D,53479483,compound,metabolite
24360,CMI-D,52923914,compound,metabolite
24360,CMI-D,24778723,compound,metabolite
24360,CMI-D,53480355,compound,metabolite
24360,CMI-D,42607457,compound,metabolite
24360,CMI-D,24779053,compound,metabolite
24360,CMI-D,52924162,compound,metabolite
24360,CMI-D,53479588,compound,metabolite
24360,CMI-D,24778766,compound,metabolite
24360,CMI-D,24778625,compound,metabolite
24360,CMI-D,53481707,compound,metabolite
24360,CMI-D,53479796,compound,metabolite
24360,CMI-D,52923896,compound,metabolite
24360,CMI-D,131801673,compound,metabolite
24360,CMI-D,52922703,compound,metabolite
24360,CMI-D,24778624,compound,metabolite
24360,CMI-D,24778876,compound,metabolite
24360,CMI-D,24779553,compound,metabolite
24360,CMI-D,131801660,compound,metabolite
24360,CMI-D,11850,compound,metabolite
24360,CMI-D,53479907,compound,metabolite
24360,CMI-D,24779386,compound,metabolite
24360,CMI-D,24778639,compound,metabolite
24360,CMI-D,24778618,compound,metabolite
24360,CMI-D,24779275,compound,metabolite
24360,CMI-D,52925094,compound,metabolite
24360,CMI-D,9547087,compound,metabolite
24360,CMI-D,9543989,compound,metabolite
24360,CMI-D,52931207,compound,metabolite
24360,CMI-D,131801661,compound,metabolite
24360,CMI-D,24779277,compound,metabolite
24360,CMI-D,6473866,compound,metabolite
24360,CMI-D,52923834,compound,metabolite
24360,CMI-D,52926490,compound,metabolite
24360,CMI-D,6305,compound,metabolite
