head,relation,tail,head_type,tail_type
3401,CPI,O75469,compound,protein
3401,CPI,P41145,compound,protein
3401,CPI,Q12809,compound,protein
3401,CPI,Q99808,compound,protein
6710614,CPI,P04150,compound,protein
25243794,CPI,O75496,compound,protein
25243794,CPI,P14618,compound,protein
25243794,CPI,P30613,compound,protein
5405,CPI,O43193,compound,protein
5405,CPI,O75604,compound,protein
5405,CPI,P00352,compound,protein
5405,CPI,P00533,compound,protein
5405,CPI,P02545,compound,protein
5405,CPI,P06241,compound,protein
5405,CPI,P07550,compound,protein
5405,CPI,P08172,compound,protein
5405,CPI,P08173,compound,protein
5405,CPI,P08183,compound,protein
5405,CPI,P08588,compound,protein
5405,CPI,P08684,compound,protein
5405,CPI,P08908,compound,protein
5405,CPI,P08912,compound,protein
5405,CPI,P08913,compound,protein
5405,CPI,P0DMS8,compound,protein
5405,CPI,P10635,compound,protein
5405,CPI,P10636,compound,protein
5405,CPI,P11229,compound,protein
5405,CPI,P13945,compound,protein
5405,CPI,P14416,compound,protein
5405,CPI,P17861,compound,protein
5405,CPI,P18089,compound,protein
5405,CPI,P18825,compound,protein
5405,CPI,P20309,compound,protein
5405,CPI,P21397,compound,protein
5405,CPI,P21452,compound,protein
5405,CPI,P21554,compound,protein
5405,CPI,P21728,compound,protein
5405,CPI,P21731,compound,protein
5405,CPI,P21917,compound,protein
5405,CPI,P23975,compound,protein
5405,CPI,P25021,compound,protein
5405,CPI,P25103,compound,protein
5405,CPI,P28223,compound,protein
5405,CPI,P28335,compound,protein
5405,CPI,P31645,compound,protein
5405,CPI,P32245,compound,protein
5405,CPI,P33261,compound,protein
5405,CPI,P34969,compound,protein
5405,CPI,P35367,compound,protein
5405,CPI,P35372,compound,protein
5405,CPI,P35462,compound,protein
5405,CPI,P37288,compound,protein
5405,CPI,P40225,compound,protein
5405,CPI,P41143,compound,protein
5405,CPI,P41595,compound,protein
5405,CPI,P41968,compound,protein
5405,CPI,P42345,compound,protein
5405,CPI,P43681,compound,protein
5405,CPI,P46098,compound,protein
5405,CPI,P50406,compound,protein
5405,CPI,P51589,compound,protein
5405,CPI,P51681,compound,protein
5405,CPI,Q01959,compound,protein
5405,CPI,Q12809,compound,protein
5405,CPI,Q13936,compound,protein
5405,CPI,Q14524,compound,protein
5405,CPI,Q16665,compound,protein
5405,CPI,Q96KQ7,compound,protein
5405,CPI,Q9NUW8,compound,protein
5405,CPI,Q9UBS5,compound,protein
5405,CPI,Q9Y5N1,compound,protein
16187238,CPI,P00352,compound,protein
16187238,CPI,P01215,compound,protein
16187238,CPI,P10636,compound,protein
16187238,CPI,P27695,compound,protein
16187238,CPI,P43220,compound,protein
44483253,CPI,O14983,compound,protein
54766,CPI,O75496,compound,protein
54766,CPI,P06276,compound,protein
54766,CPI,P07550,compound,protein
54766,CPI,P10635,compound,protein
54766,CPI,P22303,compound,protein
3607,CPI,P08172,compound,protein
3607,CPI,P08908,compound,protein
3607,CPI,P11229,compound,protein
3607,CPI,P23975,compound,protein
3607,CPI,P31645,compound,protein
3607,CPI,P35372,compound,protein
3607,CPI,P35462,compound,protein
3607,CPI,Q01959,compound,protein
3607,CPI,Q12809,compound,protein
3607,CPI,Q9NUW8,compound,protein
3607,CPI,Q9Y5N1,compound,protein
596,CPI,P06746,compound,protein
596,CPI,P09884,compound,protein
4746,CPI,P00533,compound,protein
4746,CPI,P06241,compound,protein
4746,CPI,P08172,compound,protein
4746,CPI,P08173,compound,protein
4746,CPI,P08908,compound,protein
4746,CPI,P08912,compound,protein
4746,CPI,P10635,compound,protein
4746,CPI,P11229,compound,protein
4746,CPI,P20309,compound,protein
4746,CPI,P23975,compound,protein
4746,CPI,P41968,compound,protein
4746,CPI,P43681,compound,protein
4746,CPI,Q01959,compound,protein
4746,CPI,Q12809,compound,protein
4746,CPI,Q92847,compound,protein
4746,CPI,Q99720,compound,protein
4746,CPI,Q9Y2T6,compound,protein
5702274,CPI,P04054,compound,protein
5702274,CPI,P04150,compound,protein
1564,CPI,P10636,compound,protein
1564,CPI,P54132,compound,protein
1564,CPI,P83916,compound,protein
1564,CPI,Q96KQ7,compound,protein
1564,CPI,Q9NUW8,compound,protein
441276,CPI,O75469,compound,protein
441276,CPI,P07437,compound,protein
441276,CPI,P10415,compound,protein
441276,CPI,Q9H4B7,compound,protein
2564,CPI,P31645,compound,protein
2564,CPI,P35367,compound,protein
2564,CPI,Q01959,compound,protein
2564,CPI,Q12809,compound,protein
2564,CPI,Q9Y5N1,compound,protein
54167661,CPI,O43497,compound,protein
54167661,CPI,O60840,compound,protein
54167661,CPI,O75469,compound,protein
54167661,CPI,O95180,compound,protein
54167661,CPI,P08684,compound,protein
54167661,CPI,P0DMS8,compound,protein
54167661,CPI,P0DP23,compound,protein
54167661,CPI,P54289,compound,protein
54167661,CPI,Q01668,compound,protein
54167661,CPI,Q08289,compound,protein
54167661,CPI,Q13698,compound,protein
54167661,CPI,Q13936,compound,protein
54167661,CPI,Q9P0X4,compound,protein
54167661,CPI,Q9UK17,compound,protein
643951,CPI,P06280,compound,protein
643951,CPI,P08684,compound,protein
643951,CPI,P10636,compound,protein
643951,CPI,P10828,compound,protein
643951,CPI,P14902,compound,protein
643951,CPI,P35869,compound,protein
643951,CPI,Q13546,compound,protein
21865526,CPI,P08235,compound,protein
2090,CPI,O14727,compound,protein
2090,CPI,P04054,compound,protein
2090,CPI,P55211,compound,protein
2090,CPI,P61088,compound,protein
2090,CPI,Q8WUK0,compound,protein
2090,CPI,Q9Y4P1,compound,protein
5717801,CPI,P05198,compound,protein
237,CPI,O60733,compound,protein
237,CPI,P04054,compound,protein
237,CPI,P04637,compound,protein
237,CPI,P06401,compound,protein
237,CPI,P08172,compound,protein
237,CPI,P08173,compound,protein
237,CPI,P08908,compound,protein
237,CPI,P08912,compound,protein
237,CPI,P08913,compound,protein
237,CPI,P11229,compound,protein
237,CPI,P18089,compound,protein
237,CPI,P18825,compound,protein
237,CPI,P20309,compound,protein
237,CPI,P21731,compound,protein
237,CPI,P22303,compound,protein
237,CPI,P23975,compound,protein
237,CPI,P25021,compound,protein
237,CPI,P25100,compound,protein
237,CPI,P27815,compound,protein
237,CPI,P28223,compound,protein
237,CPI,P31645,compound,protein
237,CPI,P35372,compound,protein
237,CPI,P35462,compound,protein
237,CPI,P47712,compound,protein
237,CPI,Q06278,compound,protein
237,CPI,Q12809,compound,protein
237,CPI,Q15111,compound,protein
237,CPI,Q8N884,compound,protein
237,CPI,Q96KQ7,compound,protein
237,CPI,Q96L73,compound,protein
237,CPI,Q96QE3,compound,protein
237,CPI,Q99700,compound,protein
237,CPI,Q9NUW8,compound,protein
237,CPI,Q9Y5N1,compound,protein
11957586,CPI,P0DMS8,compound,protein
5574,CPI,P08172,compound,protein
5574,CPI,P08908,compound,protein
5574,CPI,P08913,compound,protein
5574,CPI,P11229,compound,protein
5574,CPI,P21728,compound,protein
5574,CPI,P23975,compound,protein
