head,relation,tail,head_type,tail_type
RBMS1,GGI,MARCHF7,gene,gene
RBMS1,GGI,TGFBR2,gene,gene
RBMS1,GGI,PHACTR2,gene,gene
OVOL1,GGI,RAB25,gene,gene
OVOL1,GGI,PRSS8,gene,gene
OVOL1,GGI,PRSS22,gene,gene
OVOL1,GGI,ST14,gene,gene
OVOL1,GGI,TMPRSS4,gene,gene
OVOL1,GGI,LAD1,gene,gene
OVOL1,GGI,CBLC,gene,gene
OVOL1,GGI,CRYBG2,gene,gene
OVOL1,GGI,ATP2C2,gene,gene
OVOL1,GGI,LYPD3,gene,gene
OVOL1,GGI,IRF6,gene,gene
OVOL1,GGI,ESRP1,gene,gene
OVOL1,GGI,CLDN7,gene,gene
OVOL1,GGI,PLEKHG6,gene,gene
OVOL1,GGI,CLDN4,gene,gene
OVOL1,GGI,ESRP2,gene,gene
OVOL1,GGI,EPHA1,gene,gene
OVOL1,GGI,BSPRY,gene,gene
OVOL1,GGI,SPINT1,gene,gene
OVOL1,GGI,S100A14,gene,gene
OVOL1,GGI,PKP3,gene,gene
CFP,GGI,FCN1,gene,gene
CFP,GGI,LILRB2,gene,gene
CFP,GGI,SPI1,gene,gene
CFP,GGI,LILRA5,gene,gene
CFP,GGI,PILRA,gene,gene
CFP,GGI,GPSM3,gene,gene
CFP,GGI,LILRA1,gene,gene
CFP,GGI,LST1,gene,gene
CFP,GGI,HK3,gene,gene
CFP,GGI,CD14,gene,gene
CFP,GGI,MEFV,gene,gene
CFP,GGI,HCK,gene,gene
CFP,GGI,FPR2,gene,gene
CFP,GGI,LILRA3,gene,gene
CFP,GGI,CLEC10A,gene,gene
CFP,GGI,LILRA2,gene,gene
CFP,GGI,TYROBP,gene,gene
C1QTNF3,GGI,NAIP,gene,gene
TNFRSF9,GGI,TRAF1,gene,gene
TNFRSF9,GGI,NFKB2,gene,gene
TNFRSF9,GGI,IL32,gene,gene
TNFRSF9,GGI,ICAM1,gene,gene
TNFRSF9,GGI,EBI3,gene,gene
TNFRSF9,GGI,BIRC3,gene,gene
TNFRSF9,GGI,RELB,gene,gene
TNFRSF9,GGI,TNIP3,gene,gene
TNFRSF9,GGI,TNF,gene,gene
TNFRSF9,GGI,TNFAIP2,gene,gene
TNFRSF9,GGI,CSF2,gene,gene
TNFRSF9,GGI,TNFAIP3,gene,gene
MEGF6,GGI,COL18A1,gene,gene
MEGF6,GGI,PGGHG,gene,gene
CTF1,GGI,EFEMP2,gene,gene
CTF1,GGI,HSPB6,gene,gene
STK10,GGI,MYO9B,gene,gene
STK10,GGI,EHD1,gene,gene
STK10,GGI,RASA3,gene,gene
STK10,GGI,PIK3CD,gene,gene
STK10,GGI,ELF4,gene,gene
STK10,GGI,GMIP,gene,gene
STK10,GGI,ARHGEF1,gene,gene
STK10,GGI,MYH9,gene,gene
STK10,GGI,ADGRE5,gene,gene
STK10,GGI,CORO7,gene,gene
STK10,GGI,GATAD2A,gene,gene
STK10,GGI,RIN3,gene,gene
STK10,GGI,SEPTIN9,gene,gene
GRIK5,GGI,ZFHX2,gene,gene
MUTYH,GGI,TOE1,gene,gene
MUTYH,GGI,HAUS5,gene,gene
MUTYH,GGI,XRCC3,gene,gene
MUTYH,GGI,ACD,gene,gene
MUTYH,GGI,INTS11,gene,gene
MUTYH,GGI,TAFAZZIN,gene,gene
MUTYH,GGI,HIRIP3,gene,gene
MUTYH,GGI,MIIP,gene,gene
MUTYH,GGI,FANCG,gene,gene
MUTYH,GGI,QTRT1,gene,gene
MUTYH,GGI,NFYC,gene,gene
MUTYH,GGI,CCHCR1,gene,gene
MUTYH,GGI,TTC31,gene,gene
