head,relation,tail,head_type,tail_type
ACRV1,GPI,P26436,gene,protein
AHSG,GPI,P02765,gene,protein
AIRE,GPI,O43918,gene,protein
C8G,GPI,P07360,gene,protein
CD1B,GPI,P29016,gene,protein
CHRND,GPI,Q07001,gene,protein
CKM,GPI,P06732,gene,protein
CRYGA,GPI,P11844,gene,protein
DMBT1,GPI,Q9UGM3,gene,protein
DNASE1L2,GPI,Q92874,gene,protein
DRD1,GPI,P21728,gene,protein
EDN2,GPI,P20800,gene,protein
FCAR,GPI,P24071,gene,protein
GALR1,GPI,P47211,gene,protein
GPR17,GPI,Q13304,gene,protein
GRM7,GPI,Q14831,gene,protein
GYPE,GPI,P15421,gene,protein
H2BC3,GPI,P33778,gene,protein
IFNA21,GPI,P01568,gene,protein
IGLL1,GPI,P15814,gene,protein
CXCR1,GPI,P25024,gene,protein
ITIH1,GPI,P19827,gene,protein
KCNC2,GPI,Q96PR1,gene,protein
KCNE1,GPI,P15382,gene,protein
MAGEA11,GPI,P43364,gene,protein
SCGB2A2,GPI,Q13296,gene,protein
NDUFA7,GPI,O95182,gene,protein
NPAS1,GPI,Q99742,gene,protein
NTSR1,GPI,P30989,gene,protein
PAEP,GPI,P09466,gene,protein
REG3A,GPI,Q06141,gene,protein
PAX1,GPI,P15863,gene,protein
PDC,GPI,P20941,gene,protein
PROC,GPI,P04070,gene,protein
PSG7,GPI,Q13046,gene,protein
PSG11,GPI,Q00887,gene,protein
PTPRJ,GPI,Q12913,gene,protein
REN,GPI,P00797,gene,protein
TNR,GPI,Q92752,gene,protein
SCGB1A1,GPI,P11684,gene,protein
ZNF80,GPI,P51504,gene,protein
FGF23,GPI,Q9GZV9,gene,protein
ADAM18,GPI,Q9Y3Q7,gene,protein
PHOX2B,GPI,Q99453,gene,protein
HTR3B,GPI,O95264,gene,protein
TBX4,GPI,P57082,gene,protein
APOBEC3B,GPI,Q9UH17,gene,protein
TESMIN,GPI,Q9Y4I5,gene,protein
KIAA0408,GPI,Q6ZU52,gene,protein
TENM1,GPI,Q9UKZ4,gene,protein
BPNT1,GPI,O95861,gene,protein
PRG3,GPI,Q8TBJ4,gene,protein
KLK8,GPI,O60259,gene,protein
PRAME,GPI,P78395,gene,protein
OR1A2,GPI,Q9Y585,gene,protein
KCNG2,GPI,Q9UJ96,gene,protein
OR10J1,GPI,P30954,gene,protein
HEYL,GPI,Q9NQ87,gene,protein
VENTX,GPI,O95231,gene,protein
PNMA3,GPI,Q9UL41,gene,protein
TAS2R10,GPI,Q9NYW0,gene,protein
MBD3,GPI,O95983,gene,protein
L1TD1,GPI,Q5T7N2,gene,protein
SYTL2,GPI,Q9HCH5,gene,protein
DEF8,GPI,Q6ZN54,gene,protein
CCDC40,GPI,Q4G0X9,gene,protein
VRTN,GPI,Q9H8Y1,gene,protein
CHRNA9,GPI,Q9UGM1,gene,protein
PCDHGA10,GPI,Q9Y5H3,gene,protein
ZNF286A,GPI,Q9HBT8,gene,protein
TAOK1,GPI,Q7L7X3,gene,protein
FAM135A,GPI,Q9P2D6,gene,protein
DNASE2B,GPI,Q8WZ79,gene,protein
KIF13A,GPI,Q9H1H9,gene,protein
PLA2G2F,GPI,Q9BZM2,gene,protein
CYP3A43,GPI,Q9HB55,gene,protein
MFSD11,GPI,O43934,gene,protein
CCDC82,GPI,Q8N4S0,gene,protein
ZNF613,GPI,Q6PF04,gene,protein
TMC7,GPI,Q7Z402,gene,protein
PLPPR3,GPI,Q6T4P5,gene,protein
ANKRD53,GPI,Q8N9V6,gene,protein
BAIAP2L2,GPI,Q6UXY1,gene,protein
FRAS1,GPI,Q86XX4,gene,protein
MOGAT2,GPI,Q3SYC2,gene,protein
PPP1R2C,GPI,O14990,gene,protein
ULBP1,GPI,Q9BZM6,gene,protein
CFHR5,GPI,Q9BXR6,gene,protein
ACTL8,GPI,Q9H568,gene,protein
DOT1L,GPI,Q8TEK3,gene,protein
SLC25A21,GPI,Q9BQT8,gene,protein
LDHAL6B,GPI,Q9BYZ2,gene,protein
SEC14L3,GPI,Q9UDX4,gene,protein
RAB40AL,GPI,P0C0E4,gene,protein
NACA2,GPI,Q9H009,gene,protein
OR7A10,GPI,O76100,gene,protein
PINLYP,GPI,A6NC86,gene,protein
PRAMEF12,GPI,O95522,gene,protein
MAP1LC3C,GPI,Q9BXW4,gene,protein
AKT1,GPI,P31749,gene,protein
APOE,GPI,P02649,gene,protein
BAX,GPI,Q07812,gene,protein
DDR1,GPI,Q08345,gene,protein
CD40,GPI,P25942,gene,protein
CDKN1A,GPI,P38936,gene,protein
CYB561,GPI,P49447,gene,protein
DDB2,GPI,Q92466,gene,protein
DNMT1,GPI,P26358,gene,protein
EGF,GPI,P01133,gene,protein
GTF2A2,GPI,P52657,gene,protein
HMGCS1,GPI,Q01581,gene,protein
IGF2R,GPI,P11717,gene,protein
IGFBP3,GPI,P17936,gene,protein
IGHMBP2,GPI,P38935,gene,protein
NFKBIE,GPI,O00221,gene,protein
NRAS,GPI,P01111,gene,protein
OXCT1,GPI,P55809,gene,protein
PIK3C3,GPI,Q8NEB9,gene,protein
PIK3CA,GPI,P42336,gene,protein
RALGDS,GPI,Q12967,gene,protein
RGS2,GPI,P41220,gene,protein
SMARCC1,GPI,Q92922,gene,protein
TFAP2A,GPI,P05549,gene,protein
TGFBR2,GPI,P37173,gene,protein
TSPAN6,GPI,O43657,gene,protein
UBE2A,GPI,P49459,gene,protein
PDHX,GPI,O00330,gene,protein
ELP1,GPI,O95163,gene,protein
MAPKAPK2,GPI,P49137,gene,protein
SPTLC2,GPI,O15270,gene,protein
ABCC5,GPI,O15440,gene,protein
MBNL2,GPI,Q5VZF2,gene,protein
CEBPZ,GPI,Q03701,gene,protein
KIF2C,GPI,Q99661,gene,protein
UBE2C,GPI,O00762,gene,protein
PWP1,GPI,Q13610,gene,protein
POLG2,GPI,Q9UHN1,gene,protein
KHDC4,GPI,Q7Z7F0,gene,protein
WDTC1,GPI,Q8N5D0,gene,protein
XPO7,GPI,Q9UIA9,gene,protein
NNT,GPI,Q13423,gene,protein
