head,relation,tail,head_type,tail_type
440624,MPI,P21964,metabolite,protein
440624,MPI,Q9BY64,metabolite,protein
440624,MPI,P06133,metabolite,protein
440624,MPI,P22310,metabolite,protein
440624,MPI,P36537,metabolite,protein
440624,MPI,P16662,metabolite,protein
440624,MPI,P54855,metabolite,protein
440624,MPI,P22309,metabolite,protein
440624,MPI,O60656,metabolite,protein
440624,MPI,Q9HAW9,metabolite,protein
440624,MPI,P35503,metabolite,protein
440624,MPI,Q9HAW8,metabolite,protein
440624,MPI,O75795,metabolite,protein
440624,MPI,P19224,metabolite,protein
440624,MPI,P35504,metabolite,protein
440624,MPI,O75310,metabolite,protein
440624,MPI,Q9HAW7,metabolite,protein
440624,MPI,P04278,metabolite,protein
440624,MPI,Q6UWM9,metabolite,protein
49,MPI,P11177,metabolite,protein
49,MPI,P08559,metabolite,protein
49,MPI,P29803,metabolite,protein
49,MPI,P10515,metabolite,protein
49,MPI,P21953,metabolite,protein
49,MPI,P12694,metabolite,protein
49,MPI,P54687,metabolite,protein
49,MPI,O15382,metabolite,protein
49,MPI,O15427,metabolite,protein
49,MPI,P53985,metabolite,protein
49,MPI,O60669,metabolite,protein
111,MPI,Q14117,metabolite,protein
111,MPI,Q9UBR1,metabolite,protein
111,MPI,Q14195,metabolite,protein
111,MPI,Q16555,metabolite,protein
5754,MPI,P15538,metabolite,protein
5754,MPI,P51857,metabolite,protein
5754,MPI,P80365,metabolite,protein
5754,MPI,P28845,metabolite,protein
5754,MPI,P08684,metabolite,protein
5754,MPI,P20815,metabolite,protein
5754,MPI,P24462,metabolite,protein
5754,MPI,P10632,metabolite,protein
5754,MPI,P08183,metabolite,protein
5754,MPI,Q9UNQ0,metabolite,protein
5754,MPI,P08235,metabolite,protein
5754,MPI,P46721,metabolite,protein
5754,MPI,P14060,metabolite,protein
5754,MPI,P26439,metabolite,protein
5754,MPI,P19099,metabolite,protein
5754,MPI,P04083,metabolite,protein
5754,MPI,P08686,metabolite,protein
5816,MPI,P27338,metabolite,protein
5816,MPI,P21397,metabolite,protein
5816,MPI,P21964,metabolite,protein
5816,MPI,P00439,metabolite,protein
5816,MPI,P11086,metabolite,protein
5816,MPI,P08913,metabolite,protein
5816,MPI,P18089,metabolite,protein
5816,MPI,P08588,metabolite,protein
5816,MPI,P07550,metabolite,protein
5816,MPI,P35348,metabolite,protein
5816,MPI,Q96RJ0,metabolite,protein
439258,MPI,P32929,metabolite,protein
439258,MPI,P35520,metabolite,protein
10140,MPI,Q14032,metabolite,protein
10140,MPI,Q6IB77,metabolite,protein
10140,MPI,Q969I3,metabolite,protein
10140,MPI,Q8WU03,metabolite,protein
10140,MPI,Q5SZD4,metabolite,protein
67678,MPI,P32929,metabolite,protein
67678,MPI,Q07837,metabolite,protein
67678,MPI,P82251,metabolite,protein
67678,MPI,Q9UPY5,metabolite,protein
67678,MPI,P43007,metabolite,protein
67678,MPI,Q8TF71,metabolite,protein
67678,MPI,O60931,metabolite,protein
6262,MPI,P05089,metabolite,protein
6262,MPI,P04181,metabolite,protein
6262,MPI,P50440,metabolite,protein
6262,MPI,Q03154,metabolite,protein
6262,MPI,P54886,metabolite,protein
6262,MPI,P00480,metabolite,protein
6262,MPI,P11926,metabolite,protein
6262,MPI,P78540,metabolite,protein
6262,MPI,O43246,metabolite,protein
6262,MPI,Q9Y619,metabolite,protein
6262,MPI,Q9BXI2,metabolite,protein
6262,MPI,Q8WY07,metabolite,protein
6262,MPI,P30825,metabolite,protein
6262,MPI,P52569,metabolite,protein
6262,MPI,Q92536,metabolite,protein
6262,MPI,P54368,metabolite,protein
6262,MPI,O95190,metabolite,protein
6262,MPI,Q9UMX2,metabolite,protein
6262,MPI,O14977,metabolite,protein
167760,MPI,Q92523,metabolite,protein
167760,MPI,P50416,metabolite,protein
167760,MPI,P23786,metabolite,protein
167760,MPI,Q8TCG5,metabolite,protein
167760,MPI,P33121,metabolite,protein
65253,MPI,P35270,metabolite,protein
65253,MPI,P63104,metabolite,protein
