head,relation,tail,head_type,tail_type
Q9NY61,PPI,Q13315,protein,protein
Q9NY61,PPI,P20848,protein,protein
Q9NY61,PPI,Q9Y297,protein,protein
Q9NY61,PPI,Q86VP6,protein,protein
Q9NY61,PPI,Q9UPV0,protein,protein
Q9NY61,PPI,O14757,protein,protein
Q9NY61,PPI,O96017,protein,protein
Q9NY61,PPI,O75976,protein,protein
Q9NY61,PPI,O43293,protein,protein
Q9NY61,PPI,Q15038,protein,protein
Q9NY61,PPI,Q15768,protein,protein
Q9NY61,PPI,Q9UKB1,protein,protein
Q9NY61,PPI,Q9H2X6,protein,protein
Q9NY61,PPI,Q00839,protein,protein
Q9NY61,PPI,P05412,protein,protein
Q9NY61,PPI,O95751,protein,protein
Q9NY61,PPI,Q8N653,protein,protein
Q9NY61,PPI,Q9Y5V3,protein,protein
Q9NY61,PPI,P49137,protein,protein
Q9NY61,PPI,P10636,protein,protein
Q9NY61,PPI,Q00987,protein,protein
Q9NY61,PPI,Q96T76,protein,protein
Q9NY61,PPI,P41218,protein,protein
Q9NY61,PPI,Q8NEH6,protein,protein
Q9NY61,PPI,Q99547,protein,protein
Q9NY61,PPI,Q96PU5,protein,protein
Q9NY61,PPI,Q8NEJ9,protein,protein
Q9NY61,PPI,Q14494,protein,protein
Q9NY61,PPI,O96028,protein,protein
Q9NY61,PPI,Q9NZW5,protein,protein
Q9NY61,PPI,Q96IZ0,protein,protein
Q9NY61,PPI,Q9H0N5,protein,protein
Q9NY61,PPI,Q13526,protein,protein
Q9NY61,PPI,P52435,protein,protein
Q9NY61,PPI,P06400,protein,protein
Q9NY61,PPI,Q99708,protein,protein
Q9NY61,PPI,P28749,protein,protein
Q9NY61,PPI,Q08999,protein,protein
Q9NY61,PPI,Q04206,protein,protein
Q9NY61,PPI,P27635,protein,protein
Q9NY61,PPI,Q9NRC8,protein,protein
Q9NY61,PPI,P84022,protein,protein
Q9NY61,PPI,P08047,protein,protein
Q9NY61,PPI,O75177,protein,protein
Q9NY61,PPI,P61956,protein,protein
Q9NY61,PPI,Q99816,protein,protein
Q9NY61,PPI,P0CG48,protein,protein
Q9NY61,PPI,O15205,protein,protein
Q9NY61,PPI,Q5VIY5,protein,protein
Q9UG63,PPI,Q9H845,protein,protein
Q9UG63,PPI,O15084,protein,protein
Q9UG63,PPI,Q9NRD1,protein,protein
Q9UG63,PPI,P40939,protein,protein
Q9UG63,PPI,P22626,protein,protein
Q9UG63,PPI,Q13418,protein,protein
Q9UG63,PPI,P05161,protein,protein
Q9UG63,PPI,P05412,protein,protein
Q9UG63,PPI,Q13257,protein,protein
Q9UG63,PPI,P06748,protein,protein
Q9UG63,PPI,Q96FW1,protein,protein
Q9UG63,PPI,Q96QC0,protein,protein
Q9UG63,PPI,P53041,protein,protein
Q9UG63,PPI,P27635,protein,protein
Q9UG63,PPI,Q8N6T7,protein,protein
Q9UG63,PPI,Q13573,protein,protein
Q9UG63,PPI,Q92544,protein,protein
Q9UG63,PPI,P0CG48,protein,protein
Q9UG63,PPI,O15205,protein,protein
Q9UG63,PPI,Q9HAU5,protein,protein
Q9UG63,PPI,P67809,protein,protein
P45844,PPI,Q9H172,protein,protein
P45844,PPI,Q9H222,protein,protein
P45844,PPI,Q13520,protein,protein
P45844,PPI,Q15717,protein,protein
P45844,PPI,P0CG48,protein,protein
Q9H222,PPI,Q9H221,protein,protein
Q9H222,PPI,P16333,protein,protein
Q9H222,PPI,P27986,protein,protein
O94929,PPI,Q8N0Z2,protein,protein
O94929,PPI,P68133,protein,protein
O94929,PPI,P68032,protein,protein
O94929,PPI,Q8N9N5,protein,protein
O94929,PPI,Q8NEC5,protein,protein
O94929,PPI,Q9HC52,protein,protein
O94929,PPI,Q8N5R6,protein,protein
O94929,PPI,Q2TBE0,protein,protein
O94929,PPI,P62993,protein,protein
O94929,PPI,Q53FT3,protein,protein
O94929,PPI,Q9UKT9,protein,protein
O94929,PPI,P33993,protein,protein
O94929,PPI,Q9NP74,protein,protein
O94929,PPI,Q13573,protein,protein
O94929,PPI,Q9Y2D8,protein,protein
O94929,PPI,Q9UBB9,protein,protein
O94929,PPI,Q6ZNG0,protein,protein
Q6UWZ7,PPI,Q9NWV8,protein,protein
Q6UWZ7,PPI,Q9NXR7,protein,protein
Q6UWZ7,PPI,Q99728,protein,protein
Q6UWZ7,PPI,P38398,protein,protein
Q6UWZ7,PPI,P46736,protein,protein
Q6UWZ7,PPI,Q9BX63,protein,protein
Q6UWZ7,PPI,P34932,protein,protein
Q6UWZ7,PPI,Q14676,protein,protein
Q6UWZ7,PPI,Q14494,protein,protein
Q6UWZ7,PPI,Q6ZW49,protein,protein
Q6UWZ7,PPI,Q06609,protein,protein
Q6UWZ7,PPI,Q99708,protein,protein
Q6UWZ7,PPI,P61956,protein,protein
Q6UWZ7,PPI,P0CG48,protein,protein
Q6UWZ7,PPI,Q96RL1,protein,protein
Q4G176,PPI,Q9Y679,protein,protein
Q4G176,PPI,Q96ME1,protein,protein
Q4G176,PPI,P43220,protein,protein
Q4G176,PPI,Q9NVX0,protein,protein
Q4G176,PPI,Q6A162,protein,protein
Q4G176,PPI,O95460,protein,protein
Q4G176,PPI,Q96KQ4,protein,protein
Q4G176,PPI,P51157,protein,protein
Q4G176,PPI,Q9Y6E7,protein,protein
Q4G176,PPI,P14373,protein,protein
Q4G176,PPI,P0CG48,protein,protein
Q9UKU0,PPI,Q9NV79,protein,protein
Q9UKU0,PPI,O14832,protein,protein
Q9UKU0,PPI,P17020,protein,protein
Q9UKU0,PPI,Q8N720,protein,protein
Q96HD9,PPI,P84085,protein,protein
Q96HD9,PPI,P45381,protein,protein
Q96HD9,PPI,A8MQ03,protein,protein
Q96HD9,PPI,Q96D03,protein,protein
Q96HD9,PPI,Q9H8Y8,protein,protein
Q96HD9,PPI,Q0VD86,protein,protein
Q96HD9,PPI,P60369,protein,protein
Q96HD9,PPI,P60410,protein,protein
Q96HD9,PPI,Q3LI76,protein,protein
Q96HD9,PPI,Q6PEX3,protein,protein
Q96HD9,PPI,Q8TBB1,protein,protein
Q96HD9,PPI,P41279,protein,protein
Q96HD9,PPI,A0A087WUL8,protein,protein
Q96HD9,PPI,Q96PU5,protein,protein
Q96HD9,PPI,Q7Z3S9,protein,protein
Q96HD9,PPI,O75928,protein,protein
Q96HD9,PPI,Q9H8W4,protein,protein
Q96HD9,PPI,O15305,protein,protein
Q96HD9,PPI,P13631,protein,protein
Q96HD9,PPI,P10301,protein,protein
Q6UY14,PPI,Q6ZMM2,protein,protein
Q6UY14,PPI,P05187,protein,protein
Q6UY14,PPI,Q9Y4X0,protein,protein
Q6UY14,PPI,Q9BWW8,protein,protein
Q6UY14,PPI,P29972,protein,protein
Q6UY14,PPI,Q9BZE9,protein,protein
Q6UY14,PPI,Q7Z3C6,protein,protein
Q6UY14,PPI,O95429,protein,protein
Q6UY14,PPI,Q9H503,protein,protein
Q6UY14,PPI,Q9H3K6,protein,protein
Q6UY14,PPI,Q0VDD7,protein,protein
Q6UY14,PPI,Q8NEC5,protein,protein
Q6UY14,PPI,Q13185,protein,protein
Q6UY14,PPI,Q8IYR0,protein,protein
Q6UY14,PPI,Q9Y6H1,protein,protein
Q6UY14,PPI,Q8IWX8,protein,protein
Q6UY14,PPI,Q9UKJ5,protein,protein
Q6UY14,PPI,Q9H2X0,protein,protein
Q6UY14,PPI,A5D8T8,protein,protein
Q6UY14,PPI,P27658,protein,protein
Q6UY14,PPI,Q9UBL6,protein,protein
