head,relation,tail,head_type,tail_type
12478,CGI-D,COG2,compound,gene
12478,CGI-D,TIMP1,compound,gene
12478,CGI-D,PPP2R5E,compound,gene
12478,CGI-D,NPTX2,compound,gene
12478,CGI-D,HMGCS1,compound,gene
12478,CGI-D,CEBPB,compound,gene
12478,CGI-D,CLTB,compound,gene
12478,CGI-D,SLC38A1,compound,gene
12478,CGI-D,MT1X,compound,gene
12478,CGI-D,TUBB6,compound,gene
12478,CGI-D,VAT1,compound,gene
12478,CGI-D,ADH5,compound,gene
12478,CGI-D,CCDC86,compound,gene
12478,CGI-D,KRT8,compound,gene
12478,CGI-D,MT1H,compound,gene
12478,CGI-D,EXT1,compound,gene
12478,CGI-D,CD320,compound,gene
12478,CGI-D,HMG20B,compound,gene
12478,CGI-D,TLE1,compound,gene
12478,CGI-D,VDAC1,compound,gene
12478,CGI-D,BAG3,compound,gene
12478,CGI-D,PRPF4,compound,gene
12478,CGI-D,PFN1,compound,gene
12478,CGI-D,VEGFA,compound,gene
12478,CGI-D,TM9SF3,compound,gene
12478,CGI-D,SPR,compound,gene
12478,CGI-D,ATP6V1D,compound,gene
12478,CGI-D,DCK,compound,gene
12478,CGI-D,RND3,compound,gene
12478,CGI-D,KTN1,compound,gene
12478,CGI-D,DNAJB6,compound,gene
12478,CGI-D,CNDP2,compound,gene
12478,CGI-D,PLOD3,compound,gene
12478,CGI-D,ACD,compound,gene
12478,CGI-D,FBXO21,compound,gene
12478,CGI-D,NPDC1,compound,gene
12478,CGI-D,MT1HL1,compound,gene
12478,CGI-D,ERBB2,compound,gene
12478,CGI-D,S100A8,compound,gene
12478,CGI-D,NME1,compound,gene
12478,CGI-D,GRN,compound,gene
12478,CGI-D,ENOPH1,compound,gene
12478,CGI-D,OXA1L,compound,gene
12478,CGI-D,DNAJA3,compound,gene
12478,CGI-D,CRK,compound,gene
12478,CGI-D,OSBPL10,compound,gene
12478,CGI-D,GJA1,compound,gene
12478,CGI-D,LAP3,compound,gene
12478,CGI-D,RNH1,compound,gene
12478,CGI-D,BAD,compound,gene
12478,CGI-D,GADD45B,compound,gene
12478,CGI-D,ARFIP2,compound,gene
12478,CGI-D,MRPS2,compound,gene
12478,CGI-D,MT1G,compound,gene
12478,CGI-D,PTK2,compound,gene
12478,CGI-D,EEF1A2,compound,gene
12478,CGI-D,DERA,compound,gene
12478,CGI-D,ATF5,compound,gene
12478,CGI-D,TIPARP,compound,gene
12478,CGI-D,PCMT1,compound,gene
12478,CGI-D,PEG10,compound,gene
12478,CGI-D,TUBA4A,compound,gene
12478,CGI-D,MTERF3,compound,gene
12478,CGI-D,MYCBP,compound,gene
12478,CGI-D,SCGB1D2,compound,gene
12478,CGI-D,CCNC,compound,gene
12478,CGI-D,SAR1A,compound,gene
12478,CGI-D,COTL1,compound,gene
12478,CGI-D,HSPA1A,compound,gene
12478,CGI-D,MIF,compound,gene
12478,CGI-D,RPS4Y1,compound,gene
12478,CGI-D,FOSL1,compound,gene
12478,CGI-D,S100A6,compound,gene
12478,CGI-D,SLC11A2,compound,gene
12478,CGI-D,COX8A,compound,gene
12478,CGI-D,MT1E,compound,gene
12478,CGI-D,TPI1,compound,gene
12478,CGI-D,TRIB3,compound,gene
12478,CGI-D,FDPS,compound,gene
12478,CGI-D,PCCB,compound,gene
12478,CGI-D,DAP3,compound,gene
12478,CGI-D,TOM1L1,compound,gene
12478,CGI-D,AARS1,compound,gene
12478,CGI-D,CHAC1,compound,gene
12478,CGI-D,MSN,compound,gene
12478,CGI-D,INTS12,compound,gene
12478,CGI-D,TTC19,compound,gene
12478,CGI-D,SDC1,compound,gene
12478,CGI-D,H2BC12,compound,gene
12478,CGI-D,ACADVL,compound,gene
12478,CGI-D,TBC1D1,compound,gene
12478,CGI-D,SPRED2,compound,gene
12478,CGI-D,ACAT2,compound,gene
12478,CGI-D,MRPL4,compound,gene
12478,CGI-D,KDM3A,compound,gene
12478,CGI-D,FN1,compound,gene
12478,CGI-D,EIF5,compound,gene
12478,CGI-D,PWP1,compound,gene
12478,CGI-D,ANXA5,compound,gene
12478,CGI-D,GRB7,compound,gene
12478,CGI-D,TGDS,compound,gene
12478,CGI-D,PTRH2,compound,gene
12478,CGI-D,NOP56,compound,gene
12478,CGI-D,RECQL,compound,gene
12478,CGI-D,FABP5,compound,gene
12478,CGI-D,RPA3,compound,gene
12478,CGI-D,SNX7,compound,gene
12478,CGI-D,HPRT1,compound,gene
12478,CGI-D,GLA,compound,gene
12478,CGI-D,TFPI2,compound,gene
12478,CGI-D,NOP2,compound,gene
12478,CGI-D,DUSP6,compound,gene
12478,CGI-D,NAA16,compound,gene
12478,CGI-D,RGCC,compound,gene
12478,CGI-D,EIF2B2,compound,gene
12478,CGI-D,DNTTIP2,compound,gene
12478,CGI-D,CRABP2,compound,gene
12478,CGI-D,KIF14,compound,gene
12478,CGI-D,NR2F6,compound,gene
12478,CGI-D,SMC4,compound,gene
12478,CGI-D,CDC25B,compound,gene
12478,CGI-D,SLCO4A1,compound,gene
12478,CGI-D,APP,compound,gene
12478,CGI-D,NOP16,compound,gene
12478,CGI-D,CSRP1,compound,gene
12478,CGI-D,SCAND1,compound,gene
12478,CGI-D,TMEM158,compound,gene
12478,CGI-D,ABHD3,compound,gene
12478,CGI-D,NES,compound,gene
12478,CGI-D,C2CD5,compound,gene
12478,CGI-D,GSTZ1,compound,gene
12478,CGI-D,POLR2L,compound,gene
12478,CGI-D,BASP1,compound,gene
12478,CGI-D,TLK2,compound,gene
12478,CGI-D,MFSD10,compound,gene
12478,CGI-D,SLC7A5,compound,gene
12478,CGI-D,CYP51A1,compound,gene
12478,CGI-D,FKBP1A,compound,gene
12478,CGI-D,FKBP4,compound,gene
12478,CGI-D,TGFBI,compound,gene
12478,CGI-D,GAD1,compound,gene
12478,CGI-D,ATG4B,compound,gene
12478,CGI-D,G6PC3,compound,gene
12478,CGI-D,ASS1,compound,gene
12478,CGI-D,ISG20L2,compound,gene
12478,CGI-D,MAPKAPK2,compound,gene
12478,CGI-D,RTN2,compound,gene
12478,CGI-D,EPB41L4B,compound,gene
12478,CGI-D,PRSS8,compound,gene
12478,CGI-D,BECN1,compound,gene
12478,CGI-D,ACOT9,compound,gene
12478,CGI-D,ANKS1A,compound,gene
12478,CGI-D,UFM1,compound,gene
12478,CGI-D,ARHGEF18,compound,gene
12478,CGI-D,GMNN,compound,gene
12478,CGI-D,HOXA10,compound,gene
12478,CGI-D,TUBA1B,compound,gene
12478,CGI-D,MT2A,compound,gene
12478,CGI-D,CDKN2A,compound,gene
12478,CGI-D,TMEM109,compound,gene
12478,CGI-D,DDX11,compound,gene
12478,CGI-D,MPC2,compound,gene
12478,CGI-D,YBX3,compound,gene
12478,CGI-D,NFKBIA,compound,gene
12478,CGI-D,IDH1,compound,gene
12478,CGI-D,UGDH,compound,gene
12478,CGI-D,UBE3C,compound,gene
12478,CGI-D,IRF3,compound,gene
12478,CGI-D,XPNPEP1,compound,gene
12478,CGI-D,TMC5,compound,gene
12478,CGI-D,CST3,compound,gene
12478,CGI-D,TNFAIP1,compound,gene
12478,CGI-D,TNIP2,compound,gene
12478,CGI-D,NDUFA7,compound,gene
12478,CGI-D,GTF2E2,compound,gene
12478,CGI-D,SPAG9,compound,gene
12478,CGI-D,FBXW2,compound,gene
12478,CGI-D,PLEKHA5,compound,gene
