head,relation,tail,head_type,tail_type
65664,CMI-D,105024,compound,metabolite
65664,CMI-D,1123,compound,metabolite
73707353,CMI-D,161166,compound,metabolite
73707353,CMI-D,5283576,compound,metabolite
73707353,CMI-D,44260130,compound,metabolite
73707353,CMI-D,24778745,compound,metabolite
73707353,CMI-D,1021,compound,metabolite
73707353,CMI-D,53479483,compound,metabolite
73707353,CMI-D,53481785,compound,metabolite
73707353,CMI-D,127448,compound,metabolite
73707353,CMI-D,53481783,compound,metabolite
73707353,CMI-D,53479161,compound,metabolite
73707353,CMI-D,24778868,compound,metabolite
73707353,CMI-D,247304,compound,metabolite
73707353,CMI-D,5202,compound,metabolite
73707353,CMI-D,53480968,compound,metabolite
73707353,CMI-D,439554,compound,metabolite
73707508,CMI-D,6083,compound,metabolite
73707508,CMI-D,5283496,compound,metabolite
73707508,CMI-D,6030,compound,metabolite
73707508,CMI-D,52924125,compound,metabolite
73707508,CMI-D,52924223,compound,metabolite
73707508,CMI-D,41781,compound,metabolite
73707508,CMI-D,9546747,compound,metabolite
73707508,CMI-D,53479588,compound,metabolite
73707508,CMI-D,984,compound,metabolite
73707508,CMI-D,446066,compound,metabolite
8567,CMI-D,26934,compound,metabolite
8567,CMI-D,4075,compound,metabolite
65664,CMI-U,53479161,compound,metabolite
65664,CMI-U,6128,compound,metabolite
65664,CMI-U,53479159,compound,metabolite
65664,CMI-U,8209,compound,metabolite
65664,CMI-U,15560610,compound,metabolite
73707475,CMI-U,998,compound,metabolite
73707475,CMI-U,53480969,compound,metabolite
73707475,CMI-U,699414,compound,metabolite
73707475,CMI-U,9547167,compound,metabolite
5491955,CMI-U,439554,compound,metabolite
5491955,CMI-U,53480981,compound,metabolite
5491955,CMI-U,5997,compound,metabolite
5491955,CMI-U,3033895,compound,metabolite
5491955,CMI-U,264,compound,metabolite
3724,CMI-U,5283573,compound,metabolite
3724,CMI-U,5283570,compound,metabolite
73707508,CMI-U,5957,compound,metabolite
73707357,CMI-U,53479547,compound,metabolite
73707357,CMI-U,52925229,compound,metabolite
73707357,CMI-U,53481751,compound,metabolite
73707357,CMI-U,53481787,compound,metabolite
73707357,CMI-U,53479483,compound,metabolite
73707357,CMI-U,46891802,compound,metabolite
73707357,CMI-U,24779546,compound,metabolite
73707357,CMI-U,42607428,compound,metabolite
73707357,CMI-U,52931207,compound,metabolite
73707357,CMI-U,5280473,compound,metabolite
73707357,CMI-U,100921659,compound,metabolite
73707357,CMI-U,52931223,compound,metabolite
73707357,CMI-U,9547167,compound,metabolite
73707357,CMI-U,22295536,compound,metabolite
73707357,CMI-U,24778745,compound,metabolite
73707357,CMI-U,131750394,compound,metabolite
73707357,CMI-U,53478052,compound,metabolite
8567,CMI-U,753,compound,metabolite
8567,CMI-U,2094,compound,metabolite
8567,CMI-U,190,compound,metabolite
8567,CMI-U,444972,compound,metabolite
8567,CMI-U,750,compound,metabolite
8567,CMI-U,445063,compound,metabolite
8567,CMI-U,439402,compound,metabolite
8567,CMI-U,439213,compound,metabolite
8567,CMI-U,440728,compound,metabolite
8567,CMI-U,145742,compound,metabolite
8567,CMI-U,586,compound,metabolite
8567,CMI-U,4991,compound,metabolite
8567,CMI-U,6736,compound,metabolite
8567,CMI-U,811,compound,metabolite
8567,CMI-U,15993,compound,metabolite
8567,CMI-U,1088,compound,metabolite
26533,CMI-U,5380406,compound,metabolite
12478,CMI-U,439250,compound,metabolite
12478,CMI-N,52927171,compound,metabolite
26533,CMI-N,53480922,compound,metabolite
3724,CMI-N,42607430,compound,metabolite
3724,CMI-N,42607457,compound,metabolite
5491955,CMI-N,24778766,compound,metabolite
5491955,CMI-N,53480966,compound,metabolite
5491955,CMI-N,1179,compound,metabolite
5491955,CMI-N,131750726,compound,metabolite
5491955,CMI-N,444899,compound,metabolite
65664,CMI-N,9547070,compound,metabolite
65664,CMI-N,586,compound,metabolite
65664,CMI-N,6439847,compound,metabolite
65664,CMI-N,18526330,compound,metabolite
65664,CMI-N,53481785,compound,metabolite
65664,CMI-N,65076,compound,metabolite
65664,CMI-N,14275352,compound,metabolite
73707353,CMI-N,9547167,compound,metabolite
73707353,CMI-N,53480012,compound,metabolite
73707353,CMI-N,807,compound,metabolite
73707353,CMI-N,24778855,compound,metabolite
73707353,CMI-N,24778625,compound,metabolite
73707353,CMI-N,13734178,compound,metabolite
73707353,CMI-N,440867,compound,metabolite
73707353,CMI-N,53480959,compound,metabolite
73707353,CMI-N,52925132,compound,metabolite
73707353,CMI-N,52931201,compound,metabolite
73707353,CMI-N,53481787,compound,metabolite
73707353,CMI-N,131750633,compound,metabolite
73707353,CMI-N,750,compound,metabolite
73707353,CMI-N,44260139,compound,metabolite
73707353,CMI-N,108063,compound,metabolite
73707357,CMI-N,193536,compound,metabolite
73707357,CMI-N,131753638,compound,metabolite
73707357,CMI-N,50938266,compound,metabolite
73707357,CMI-N,6322,compound,metabolite
73707357,CMI-N,104896,compound,metabolite
73707357,CMI-N,11954043,compound,metabolite
73707357,CMI-N,122347,compound,metabolite
73707357,CMI-N,58,compound,metabolite
73707357,CMI-N,8094,compound,metabolite
73707357,CMI-N,68144,compound,metabolite
73707357,CMI-N,31242,compound,metabolite
73707357,CMI-N,131750348,compound,metabolite
73707357,CMI-N,14275352,compound,metabolite
73707357,CMI-N,53477994,compound,metabolite
73707357,CMI-N,10747814,compound,metabolite
73707357,CMI-N,439174,compound,metabolite
73707357,CMI-N,64969,compound,metabolite
73707475,CMI-N,131765344,compound,metabolite
73707475,CMI-N,53478031,compound,metabolite
73707475,CMI-N,807,compound,metabolite
73707475,CMI-N,11850,compound,metabolite
73707508,CMI-N,123409,compound,metabolite
73707508,CMI-N,16219824,compound,metabolite
73707508,CMI-N,24906333,compound,metabolite
73707508,CMI-N,53479481,compound,metabolite
73707508,CMI-N,11222,compound,metabolite
73707508,CMI-N,52923896,compound,metabolite
73707508,CMI-N,131754717,compound,metabolite
73707508,CMI-N,52923946,compound,metabolite
73707508,CMI-N,131750406,compound,metabolite
73707508,CMI-N,122281,compound,metabolite
73707508,CMI-N,9543847,compound,metabolite
8567,CMI-N,115254,compound,metabolite
8567,CMI-N,12178130,compound,metabolite
8567,CMI-N,439224,compound,metabolite
8567,CMI-N,440863,compound,metabolite
8567,CMI-N,11005,compound,metabolite
8567,CMI-N,52925065,compound,metabolite
8567,CMI-N,131750377,compound,metabolite
8567,CMI-N,53480963,compound,metabolite
8567,CMI-N,52925094,compound,metabolite
8567,CMI-N,131762013,compound,metabolite
8567,CMI-N,9305,compound,metabolite
8567,CMI-N,24778618,compound,metabolite
8567,CMI-N,5288826,compound,metabolite
8567,CMI-N,9543847,compound,metabolite
8567,CMI-N,8299,compound,metabolite
8567,CMI-N,53480968,compound,metabolite
8567,CMI-N,15560610,compound,metabolite
8567,CMI-N,119207,compound,metabolite
