UniprotID	Gene_symbol
P06241	FYN
P00519	ABL1
Q9NSY1	BMP2K
P12931	SRC
O75116	ROCK2
Q14289	PTK2B
P07947	YES1
P28482	MAPK1
O95819	MAP4K4
P27361	MAPK3
Q16539	MAPK14
Q8N4C8	MINK1
Q05397	PTK2
P07948	LYN
P06239	LCK
O60674	JAK2
Q9UKE5	TNIK
Q13464	ROCK1
P45984	MAPK9
Q13043	STK4
Q07912	TNK2
Q13164	MAPK7
Q13188	STK3
P45983	MAPK8
P23458	JAK1
P08631	HCK
Q00526	CDK3
O96013	PAK4
P50750	CDK9
Q15759	MAPK11
P09769	FGR
Q00535	CDK5
Q15131	CDK10
P49759	CLK1
P24941	CDK2
P06493	CDK1
P41240	CSK
Q2M2I8	AAK1
P50613	CDK7
P36888	FLT3
P49840	GSK3A
P49760	CLK2
Q9HAZ1	CLK4
P49841	GSK3B
P29597	TYK2
Q06187	BTK
O14965	AURKA
P53779	MAPK10
P42685	FRK
Q96S53	TESK2
O43353	RIPK2
P49761	CLK3
Q16513	PKN2
O95835	LATS1
Q16512	PKN1
Q9Y4K4	MAP4K5
O75716	STK16
Q00534	CDK6
P36507	MAP2K2
P52333	JAK3
Q9UHD2	TBK1
Q8IVH8	MAP4K3
Q00536	CDK16
P07332	FES
P42684	ABL2
P51617	IRAK1
Q13882	PTK6
Q96GD4	AURKB
Q13627	DYRK1A
P09619	PDGFRB
P53778	MAPK12
Q05655	PRKCD
Q13163	MAP2K5
Q07002	CDK18
Q9Y572	RIPK3
P53667	LIMK1
P43405	SYK
Q9NQU5	PAK6
Q04759	PRKCQ
Q7L7X3	TAOK1
P08581	MET
Q8TD19	NEK9
P53350	PLK1
O15264	MAPK13
Q9Y616	IRAK3
P07333	CSF1R
Q8TD08	MAPK15
P11802	CDK4
Q9NWZ3	IRAK4
P41743	PRKCI
O00444	PLK4
Q6P5Z2	PKN3
Q9Y6E0	STK24
P45985	MAP2K4
P49674	CSNK1E
O00506	STK25
Q14164	IKBKE
Q12851	MAP4K2
P16591	FER
Q13153	PAK1
Q9Y243	AKT3
Q7RTN6	STRADA
Q9Y463	DYRK1B
P51451	BLK
O14976	GAK
O14578	CIT
Q92918	MAP4K1
O94804	STK10
Q02750	MAP2K1
P48730	CSNK1D
Q00537	CDK17
P16234	PDGFRA
Q9P289	STK26
Q5VT25	CDC42BPA
P42345	MTOR
P10721	KIT
Q9Y5S2	CDC42BPB
P46734	MAP2K3
Q05513	PRKCZ
Q13470	TNK1
P00533	EGFR
P48729	CSNK1A1
Q9H4A3	WNK1
Q9UBE8	NLK
Q13546	RIPK1
P43403	ZAP70
P53671	LIMK2
Q6DT37	CDC42BPG
Q96Q04	LMTK3
Q9H2K8	TAOK3
P33981	TTK
P15056	BRAF
O76039	CDKL5
Q9Y3S1	WNK2
Q9H2G2	SLK
P11712	CYP2C9
Q08345	DDR1
P31751	AKT2
O14920	IKBKB
Q15569	TESK1
O75582	RPS6KA5
Q02156	PRKCE
Q13177	PAK2
P51813	BMX
P07949	RET
P05771	PRKCB
Q9UQB9	AURKC
Q8TF76	HASPIN
P52564	MAP2K6
P33261	CYP2C19
P10398	ARAF
Q96KB5	PBK
Q8NI60	COQ8A
P17252	PRKCA
Q9UPZ9	CILK1
P51812	RPS6KA3
P51955	NEK2
O15111	CHUK
O14757	CHEK1
P42680	TEC
Q6IQ55	TTBK2
Q08499	PDE4D
Q9UL54	TAOK2
Q15418	RPS6KA1
P42681	TXK
O75385	ULK1
Q15349	RPS6KA2
P11362	FGFR1
Q9NYV4	CDK12
Q96L34	MARK4
P49336	CDK8
Q9BWU1	CDK19
O94921	CDK14
P36897	TGFBR1
P21802	FGFR2
