head,relation,tail,head_type,tail_type,label
119,CGI-U,MEF2C,compound,gene,1
119,CGI-U,CCL2,compound,gene,1
119,CGI-U,DDX10,compound,gene,1
119,CGI-U,HERPUD1,compound,gene,1
119,CGI-U,GABPA,compound,gene,1
119,CGI-U,SEC14L2,compound,gene,1
119,CGI-U,MSX1,compound,gene,1
119,CGI-U,STUM,compound,gene,1
119,CGI-U,LSM6,compound,gene,1
119,CGI-U,TGFBR3,compound,gene,1
119,CGI-D,JCAD,compound,gene,2
119,CGI-D,DLG2,compound,gene,2
119,CGI-D,OLFML1,compound,gene,2
119,CGI-D,DNAL4,compound,gene,2
119,CGI-D,SLC12A9,compound,gene,2
119,CGI-D,PLVAP,compound,gene,2
119,CGI-D,FLT1,compound,gene,2
119,CGI-D,PLEKHF1,compound,gene,2
119,CGI-D,UBAC1,compound,gene,2
119,CGI-D,LDOC1,compound,gene,2
119,CGI-D,ELF4,compound,gene,2
119,CGI-D,NDUFB7,compound,gene,2
137,CGI-U,CRIP1,compound,gene,1
137,CGI-U,ADAM10,compound,gene,1
137,CGI-U,HMOX1,compound,gene,1
137,CGI-U,SYNE2,compound,gene,1
137,CGI-U,COQ8A,compound,gene,1
137,CGI-U,PPARG,compound,gene,1
137,CGI-U,SATB1,compound,gene,1
137,CGI-U,DNAJB1,compound,gene,1
137,CGI-U,EXOSC9,compound,gene,1
137,CGI-D,HNMT,compound,gene,2
137,CGI-D,AMH,compound,gene,2
137,CGI-D,HERPUD1,compound,gene,2
137,CGI-D,KAT2A,compound,gene,2
137,CGI-D,MBOAT7,compound,gene,2
137,CGI-D,TET3,compound,gene,2
137,CGI-D,ITIH1,compound,gene,2
137,CGI-D,CD320,compound,gene,2
137,CGI-D,KRTAP1-3,compound,gene,2
137,CGI-D,MRPS2,compound,gene,2
178,CGI-U,CARMIL1,compound,gene,1
178,CGI-U,TIMM22,compound,gene,1
178,CGI-U,KRTAP4-7,compound,gene,1
178,CGI-U,ADARB1,compound,gene,1
178,CGI-U,NOL9,compound,gene,1
178,CGI-U,AGBL5,compound,gene,1
178,CGI-D,SLC7A5,compound,gene,2
178,CGI-D,DNAJA3,compound,gene,2
178,CGI-D,PSMD2,compound,gene,2
178,CGI-D,PCCB,compound,gene,2
178,CGI-D,PRMT2,compound,gene,2
178,CGI-D,GTPBP8,compound,gene,2
178,CGI-D,ATP6V1D,compound,gene,2
178,CGI-D,CASK,compound,gene,2
178,CGI-D,PIN1,compound,gene,2
178,CGI-D,TOB1,compound,gene,2
178,CGI-D,PSMB9,compound,gene,2
200,CGI-U,MBNL1,compound,gene,1
200,CGI-U,MCOLN1,compound,gene,1
200,CGI-U,SQOR,compound,gene,1
200,CGI-U,CARMIL1,compound,gene,1
200,CGI-U,CCT8,compound,gene,1
200,CGI-U,BZW2,compound,gene,1
200,CGI-U,CCND1,compound,gene,1
200,CGI-U,NUP93,compound,gene,1
200,CGI-U,AASDHPPT,compound,gene,1
200,CGI-U,POP5,compound,gene,1
200,CGI-U,KIF5C,compound,gene,1
200,CGI-U,TMCO3,compound,gene,1
200,CGI-U,YTHDF2,compound,gene,1
200,CGI-U,DCLRE1A,compound,gene,1
200,CGI-U,HOOK2,compound,gene,1
200,CGI-D,RYR1,compound,gene,2
200,CGI-D,CACNA2D2,compound,gene,2
200,CGI-D,UCN,compound,gene,2
200,CGI-D,PPFIBP1,compound,gene,2
200,CGI-D,OTUB1,compound,gene,2
200,CGI-D,PLA2G6,compound,gene,2
200,CGI-D,GPATCH2L,compound,gene,2
204,CGI-U,C2CD2,compound,gene,1
204,CGI-U,INPPL1,compound,gene,1
204,CGI-U,TNK1,compound,gene,1
204,CGI-U,ZNF131,compound,gene,1
204,CGI-D,CDC25B,compound,gene,2
204,CGI-D,EBNA1BP2,compound,gene,2
204,CGI-D,PARPBP,compound,gene,2
204,CGI-D,SNHG32,compound,gene,2
204,CGI-D,CGRRF1,compound,gene,2
237,CGI-U,DPEP3,compound,gene,1
237,CGI-U,CDKN1A,compound,gene,1
237,CGI-U,PTGS2,compound,gene,1
237,CGI-U,BBIP1,compound,gene,1
237,CGI-U,TMCO1,compound,gene,1
