head,relation,tail,head_type,tail_type
60835,CMI-D,25163995,compound,metabolite
24360,CMI-D,52925469,compound,metabolite
24360,CMI-D,24779052,compound,metabolite
24360,CMI-D,52923896,compound,metabolite
24360,CMI-D,52922703,compound,metabolite
24360,CMI-D,9543989,compound,metabolite
24360,CMI-D,52931207,compound,metabolite
6234,CMI-D,52923902,compound,metabolite
6234,CMI-D,53479907,compound,metabolite
1548953,CMI-D,52924152,compound,metabolite
1548953,CMI-D,52923950,compound,metabolite
1548953,CMI-D,24778868,compound,metabolite
1548953,CMI-D,131750353,compound,metabolite
1548953,CMI-D,24778735,compound,metabolite
1548953,CMI-D,52923946,compound,metabolite
1548953,CMI-D,42607430,compound,metabolite
1548953,CMI-D,440728,compound,metabolite
1548953,CMI-D,53481755,compound,metabolite
1548953,CMI-D,53481781,compound,metabolite
1978,CMI-D,53479483,compound,metabolite
1989,CMI-D,1076,compound,metabolite
45006157,CMI-D,52923896,compound,metabolite
2157,CMI-D,52925229,compound,metabolite
2157,CMI-D,6267,compound,metabolite
2157,CMI-D,44260132,compound,metabolite
2165,CMI-D,52925126,compound,metabolite
2196,CMI-D,52922210,compound,metabolite
98889,CMI-D,44260132,compound,metabolite
9807070,CMI-D,53481783,compound,metabolite
2247,CMI-D,44260127,compound,metabolite
2247,CMI-D,131742,compound,metabolite
6918453,CMI-D,52924644,compound,metabolite
6918453,CMI-D,52925059,compound,metabolite
6918453,CMI-D,53479796,compound,metabolite
6918453,CMI-D,1088,compound,metabolite
6918453,CMI-D,24778625,compound,metabolite
2267,CMI-D,25163995,compound,metabolite
5362124,CMI-D,131750370,compound,metabolite
2351,CMI-D,52923894,compound,metabolite
2351,CMI-D,24779277,compound,metabolite
5328940,CMI-D,24778868,compound,metabolite
5328940,CMI-D,105024,compound,metabolite
5328940,CMI-D,53479161,compound,metabolite
5328940,CMI-D,52924162,compound,metabolite
5328940,CMI-D,100981287,compound,metabolite
5328940,CMI-D,24778745,compound,metabolite
5328940,CMI-D,3013625,compound,metabolite
5328940,CMI-D,7680,compound,metabolite
5281004,CMI-D,14275403,compound,metabolite
2478,CMI-D,131757010,compound,metabolite
47472,CMI-D,24779545,compound,metabolite
47472,CMI-D,53297342,compound,metabolite
47472,CMI-D,51,compound,metabolite
2564,CMI-D,11433862,compound,metabolite
2564,CMI-D,52925094,compound,metabolite
2564,CMI-D,24778643,compound,metabolite
2564,CMI-D,6029,compound,metabolite
2577,CMI-D,101227803,compound,metabolite
10206,CMI-D,52926310,compound,metabolite
10206,CMI-D,1123,compound,metabolite
2749,CMI-D,445468,compound,metabolite
2749,CMI-D,24778871,compound,metabolite
2749,CMI-D,52931207,compound,metabolite
1547484,CMI-D,25163995,compound,metabolite
26987,CMI-D,6030,compound,metabolite
2794,CMI-D,24779545,compound,metabolite
2794,CMI-D,52925710,compound,metabolite
2794,CMI-D,24779052,compound,metabolite
2794,CMI-D,24778639,compound,metabolite
2794,CMI-D,24779301,compound,metabolite
2794,CMI-D,24778766,compound,metabolite
2794,CMI-D,53480484,compound,metabolite
9855081,CMI-D,53480355,compound,metabolite
30323,CMI-D,52926490,compound,metabolite
3037,CMI-D,984,compound,metabolite
71414,CMI-D,52923087,compound,metabolite
4369270,CMI-D,52924644,compound,metabolite
4369270,CMI-D,52925065,compound,metabolite
4369270,CMI-D,24778715,compound,metabolite
4369270,CMI-D,53481789,compound,metabolite
4369270,CMI-D,24778699,compound,metabolite
4369270,CMI-D,24779052,compound,metabolite
4369270,CMI-D,5281915,compound,metabolite
4369270,CMI-D,131753238,compound,metabolite
4369270,CMI-D,6736,compound,metabolite
4369270,CMI-D,53478597,compound,metabolite
4369270,CMI-D,9547096,compound,metabolite
15478,CMI-D,52925059,compound,metabolite
15478,CMI-D,6473866,compound,metabolite
15478,CMI-D,44260139,compound,metabolite
2724385,CMI-D,24778898,compound,metabolite
2724385,CMI-D,24779585,compound,metabolite
2724385,CMI-D,24778639,compound,metabolite
2724385,CMI-D,42607428,compound,metabolite
2724385,CMI-D,24779297,compound,metabolite
2724385,CMI-D,14057128,compound,metabolite
46783359,CMI-D,44260138,compound,metabolite
31703,CMI-D,53478875,compound,metabolite
31703,CMI-D,52925214,compound,metabolite
208898,CMI-D,52925710,compound,metabolite
208898,CMI-D,52925065,compound,metabolite
208898,CMI-D,24779052,compound,metabolite
208898,CMI-D,12599,compound,metabolite
208898,CMI-D,52923914,compound,metabolite
208898,CMI-D,24778624,compound,metabolite
208898,CMI-D,24779546,compound,metabolite
208898,CMI-D,42607428,compound,metabolite
208898,CMI-D,52923834,compound,metabolite
208898,CMI-D,52923882,compound,metabolite
208898,CMI-D,24778642,compound,metabolite
208898,CMI-D,52931207,compound,metabolite
208898,CMI-D,24779297,compound,metabolite
208898,CMI-D,11146,compound,metabolite
208898,CMI-D,52931201,compound,metabolite
208898,CMI-D,131750346,compound,metabolite
3180,CMI-D,105024,compound,metabolite
9051,CMI-D,2094,compound,metabolite
64139,CMI-D,52925155,compound,metabolite
3280,CMI-D,52925155,compound,metabolite
3280,CMI-D,131750486,compound,metabolite
3280,CMI-D,100921659,compound,metabolite
3308,CMI-D,699414,compound,metabolite
3333,CMI-D,10851,compound,metabolite
