head,relation,tail,head_type,tail_type,label
10026128,CPI,P04150,compound,protein,1
10029385,CPI,O95819,compound,protein,1
10029385,CPI,P27448,compound,protein,1
10029385,CPI,P37173,compound,protein,1
10029385,CPI,Q02763,compound,protein,0
10029385,CPI,Q99759,compound,protein,0
10029385,CPI,Q16566,compound,protein,0
10071166,CPI,P43004,compound,protein,1
10071196,CPI,P35367,compound,protein,1
10071196,CPI,Q99714,compound,protein,0
10074640,CPI,O15264,compound,protein,1
10074640,CPI,O15530,compound,protein,1
10074640,CPI,O43353,compound,protein,1
10074640,CPI,P11274,compound,protein,1
10074640,CPI,P28482,compound,protein,1
10074640,CPI,P36897,compound,protein,1
10074640,CPI,P37173,compound,protein,1
10074640,CPI,P49841,compound,protein,1
10074640,CPI,P53350,compound,protein,1
10074640,CPI,P78356,compound,protein,1
10074640,CPI,P78368,compound,protein,1
10074640,CPI,Q07002,compound,protein,1
10074640,CPI,Q08345,compound,protein,1
10074640,CPI,Q13164,compound,protein,1
10074640,CPI,Q8NI60,compound,protein,1
10074640,CPI,Q9BQI3,compound,protein,1
10074640,CPI,Q9H2G2,compound,protein,1
10074640,CPI,P10253,compound,protein,0
10074640,CPI,P30542,compound,protein,0
10074640,CPI,P11712,compound,protein,0
10074640,CPI,P32239,compound,protein,0
10074640,CPI,P21918,compound,protein,0
10074640,CPI,Q9UBS5,compound,protein,0
10074640,CPI,Q6Q8B3,compound,protein,0
10074640,CPI,P0CV98,compound,protein,0
10074640,CPI,Q8NH09,compound,protein,0
10074640,CPI,P50452,compound,protein,0
10074640,CPI,P42025,compound,protein,0
10074640,CPI,C9JDP6,compound,protein,0
10074640,CPI,Q9GZT6,compound,protein,0
10074640,CPI,Q8N9V6,compound,protein,0
10074640,CPI,O75330,compound,protein,0
10074640,CPI,Q9UKK6,compound,protein,0
10077147,CPI,Q15759,compound,protein,0
10096344,CPI,Q12884,compound,protein,1
10109823,CPI,O00141,compound,protein,1
10109823,CPI,O14920,compound,protein,1
10109823,CPI,O15530,compound,protein,1
10109823,CPI,P49841,compound,protein,1
10109823,CPI,P52564,compound,protein,1
10109823,CPI,Q9NSA0,compound,protein,0
10109823,CPI,Q12882,compound,protein,0
10113978,CPI,O14757,compound,protein,1
10113978,CPI,O14936,compound,protein,1
10113978,CPI,O60285,compound,protein,1
10113978,CPI,O95835,compound,protein,1
10113978,CPI,P00533,compound,protein,1
10113978,CPI,P24941,compound,protein,1
10113978,CPI,P42345,compound,protein,1
10113978,CPI,P80192,compound,protein,1
10113978,CPI,Q00536,compound,protein,1
10113978,CPI,Q00537,compound,protein,1
10113978,CPI,Q04771,compound,protein,1
10113978,CPI,Q13177,compound,protein,1
10113978,CPI,Q8NE63,compound,protein,1
10113978,CPI,Q8TBX8,compound,protein,1
10113978,CPI,Q8TDC3,compound,protein,1
10113978,CPI,Q96NX5,compound,protein,1
10113978,CPI,Q9H1R3,compound,protein,1
10113978,CPI,Q9UK32,compound,protein,1
10113978,CPI,Q9UKI8,compound,protein,1
10113978,CPI,O15438,compound,protein,0
10113978,CPI,P21728,compound,protein,0
10113978,CPI,P35354,compound,protein,0
10113978,CPI,P14416,compound,protein,0
10113978,CPI,Q92830,compound,protein,0
10113978,CPI,P30518,compound,protein,0
10113978,CPI,Q9UBS5,compound,protein,0
10113978,CPI,O75874,compound,protein,0
10113978,CPI,P37231,compound,protein,0
10113978,CPI,P40225,compound,protein,0
10113978,CPI,P10275,compound,protein,0
10113978,CPI,P47898,compound,protein,0
10113978,CPI,P41145,compound,protein,0
10113978,CPI,Q9BVG3,compound,protein,0
10113978,CPI,Q96A11,compound,protein,0
10113978,CPI,Q14584,compound,protein,0
10113978,CPI,Q8WUT9,compound,protein,0
10113978,CPI,Q15785,compound,protein,0
10113978,CPI,Q9NZH6,compound,protein,0
10113978,CPI,Q17RY0,compound,protein,0
10113978,CPI,Q8IV45,compound,protein,0
