head,relation,tail,head_type,tail_type,label
10050129,CPI,P45983,compound,protein,0
10071196,CPI,P28223,compound,protein,1
1007755,CPI,Q9Y4K4,compound,protein,0
10096344,CPI,P21728,compound,protein,1
10096344,CPI,Q12884,compound,protein,1
10109823,CPI,P27361,compound,protein,1
10109823,CPI,P51812,compound,protein,1
10109823,CPI,Q02750,compound,protein,1
10109823,CPI,P16444,compound,protein,0
10109823,CPI,P47712,compound,protein,0
10117987,CPI,P21964,compound,protein,0
10133,CPI,Q12908,compound,protein,1
10133,CPI,Q8TDU6,compound,protein,1
10133,CPI,P35916,compound,protein,0
10135759,CPI,Q8NEV4,compound,protein,0
101498,CPI,Q99798,compound,protein,0
10152654,CPI,P10826,compound,protein,0
10154,CPI,P19971,compound,protein,0
10158940,CPI,Q8IWU5,compound,protein,0
101616,CPI,P19835,compound,protein,0
10168,CPI,Q92633,compound,protein,0
10173949,CPI,P15056,compound,protein,1
10200390,CPI,P06241,compound,protein,1
10200390,CPI,P31749,compound,protein,1
10200390,CPI,P41743,compound,protein,1
10200390,CPI,Q08881,compound,protein,1
10200390,CPI,Q8NE63,compound,protein,1
10200390,CPI,P19022,compound,protein,0
10200390,CPI,Q9UH92,compound,protein,0
10200390,CPI,Q6J4K2,compound,protein,0
10201696,CPI,P23443,compound,protein,0
10204,CPI,P52895,compound,protein,1
10206,CPI,P08172,compound,protein,0
102175,CPI,P29274,compound,protein,0
10219,CPI,P08913,compound,protein,1
10219,CPI,P35398,compound,protein,1
10219,CPI,Q9HC97,compound,protein,1
10219,CPI,P20701,compound,protein,0
10219,CPI,Q9P2E9,compound,protein,0
10265481,CPI,P23975,compound,protein,1
10275777,CPI,Q96D31,compound,protein,0
10286159,CPI,O43193,compound,protein,0
10296883,CPI,P24941,compound,protein,1
10296883,CPI,P51955,compound,protein,1
10296883,CPI,Q06187,compound,protein,1
10296883,CPI,Q06418,compound,protein,1
10296883,CPI,Q96GD4,compound,protein,1
10296883,CPI,Q9BZL6,compound,protein,1
10296883,CPI,Q9HCP0,compound,protein,1
10296883,CPI,Q9NWZ3,compound,protein,1
10296883,CPI,P00488,compound,protein,0
10296883,CPI,Q92633,compound,protein,0
10296883,CPI,P31040,compound,protein,0
10296883,CPI,Q14896,compound,protein,0
10296883,CPI,P21728,compound,protein,0
10302451,CPI,P08631,compound,protein,1
10302451,CPI,P42685,compound,protein,1
10302451,CPI,P34981,compound,protein,0
10302451,CPI,P31644,compound,protein,0
10313,CPI,P14416,compound,protein,0
10343454,CPI,O43614,compound,protein,0
1036002,CPI,P00918,compound,protein,0
10365,CPI,P07478,compound,protein,0
10366136,CPI,P07949,compound,protein,1
10366136,CPI,P09619,compound,protein,1
10366136,CPI,Q04759,compound,protein,1
10366136,CPI,Q7KZI7,compound,protein,1
10366136,CPI,Q9UKE5,compound,protein,1
10370504,CPI,P80075,compound,protein,0
10377751,CPI,Q99700,compound,protein,1
10427712,CPI,O14578,compound,protein,1
10427712,CPI,O96013,compound,protein,1
10427712,CPI,P31751,compound,protein,1
10427712,CPI,P36897,compound,protein,1
10427712,CPI,P51813,compound,protein,1
10427712,CPI,Q00535,compound,protein,1
10427712,CPI,Q13164,compound,protein,1
10427712,CPI,Q13464,compound,protein,1
10427712,CPI,Q16620,compound,protein,1
10427712,CPI,Q8N568,compound,protein,1
10427712,CPI,Q8NEV4,compound,protein,1
10427712,CPI,Q9BUB5,compound,protein,1
10427712,CPI,O75355,compound,protein,0
10427712,CPI,O00429,compound,protein,0
10427712,CPI,P42898,compound,protein,0
10427712,CPI,P19971,compound,protein,0
10427712,CPI,P43004,compound,protein,0
10427712,CPI,Q9H2J7,compound,protein,0
10427712,CPI,P00797,compound,protein,0
10427712,CPI,P48065,compound,protein,0
10427712,CPI,P10619,compound,protein,0
10427712,CPI,Q96GW9,compound,protein,0
10427712,CPI,P43487,compound,protein,0
10430360,CPI,Q9UBY5,compound,protein,0
10436840,CPI,P00533,compound,protein,1
10437018,CPI,P33261,compound,protein,1
10437018,CPI,Q16706,compound,protein,0
10452020,CPI,P21554,compound,protein,0
10453870,CPI,P13866,compound,protein,1
1046,CPI,Q8TEK3,compound,protein,0
1046,CPI,Q99640,compound,protein,0
10461508,CPI,P06276,compound,protein,0
10461815,CPI,O14578,compound,protein,1
10461815,CPI,O95382,compound,protein,1
10461815,CPI,P06239,compound,protein,1
10461815,CPI,P07949,compound,protein,1
10461815,CPI,P0C1S8,compound,protein,1
10461815,CPI,P45984,compound,protein,1
10461815,CPI,P49336,compound,protein,1
10461815,CPI,P49841,compound,protein,1
10461815,CPI,Q00537,compound,protein,1
10461815,CPI,Q13555,compound,protein,1
10461815,CPI,Q13873,compound,protein,1
10461815,CPI,Q16620,compound,protein,1
10461815,CPI,Q32MK0,compound,protein,1
10461815,CPI,Q9NY57,compound,protein,1
10461815,CPI,Q9P2K8,compound,protein,1
10461815,CPI,Q9UEE5,compound,protein,1
10461815,CPI,Q9UKE5,compound,protein,1
10461815,CPI,Q16613,compound,protein,0
10461815,CPI,Q15119,compound,protein,0
