head,relation,tail,head_type,tail_type,label
10022508,CPI,P33981,compound,protein,0
10026128,CPI,Q7Z2K8,compound,protein,0
10029385,CPI,Q13153,compound,protein,1
10052040,CPI,O75747,compound,protein,0
10074640,CPI,O75747,compound,protein,1
10074640,CPI,O94921,compound,protein,1
10074640,CPI,P00533,compound,protein,1
10074640,CPI,P07948,compound,protein,1
10074640,CPI,P11274,compound,protein,1
10074640,CPI,P23458,compound,protein,1
10074640,CPI,P29317,compound,protein,1
10074640,CPI,P30530,compound,protein,1
10074640,CPI,Q02750,compound,protein,1
10074640,CPI,Q15759,compound,protein,1
10074640,CPI,Q8IVH8,compound,protein,1
10074640,CPI,Q8IY84,compound,protein,1
10074640,CPI,Q8NEV4,compound,protein,1
10074640,CPI,Q96BR1,compound,protein,1
10074640,CPI,Q9BVS4,compound,protein,1
10074640,CPI,Q9UKI8,compound,protein,1
10074640,CPI,Q15119,compound,protein,0
10074640,CPI,P51685,compound,protein,0
10074640,CPI,Q96D31,compound,protein,0
10074640,CPI,P69905,compound,protein,0
10074640,CPI,Q00722,compound,protein,0
10074640,CPI,Q9HBG4,compound,protein,0
10074640,CPI,P15328,compound,protein,0
10074640,CPI,P46721,compound,protein,0
10074640,CPI,P48735,compound,protein,0
10074640,CPI,P18858,compound,protein,0
10074640,CPI,P25929,compound,protein,0
10077130,CPI,P53396,compound,protein,0
10077130,CPI,P43004,compound,protein,0
10096344,CPI,P11229,compound,protein,1
10096344,CPI,P19835,compound,protein,0
10109823,CPI,Q9Y275,compound,protein,0
10109823,CPI,P08913,compound,protein,0
10113978,CPI,O14976,compound,protein,1
10113978,CPI,O94806,compound,protein,1
10113978,CPI,P08581,compound,protein,1
10113978,CPI,P0C264,compound,protein,1
10113978,CPI,P15056,compound,protein,1
10113978,CPI,P52564,compound,protein,1
10113978,CPI,P53355,compound,protein,1
10113978,CPI,P54756,compound,protein,1
10113978,CPI,Q00535,compound,protein,1
10113978,CPI,Q00536,compound,protein,1
10113978,CPI,Q00537,compound,protein,1
10113978,CPI,Q14012,compound,protein,1
10113978,CPI,Q15375,compound,protein,1
10113978,CPI,Q15746,compound,protein,1
10113978,CPI,Q99755,compound,protein,1
10113978,CPI,Q9BUB5,compound,protein,1
10113978,CPI,Q9Y5S2,compound,protein,1
10113978,CPI,P05198,compound,protein,0
10113978,CPI,Q3T906,compound,protein,0
10113978,CPI,Q9NR97,compound,protein,0
10113978,CPI,P00736,compound,protein,0
10113978,CPI,P19878,compound,protein,0
10113978,CPI,P11168,compound,protein,0
10113978,CPI,P59536,compound,protein,0
10113978,CPI,P06865,compound,protein,0
10113978,CPI,Q16552,compound,protein,0
10113978,CPI,Q16581,compound,protein,0
10113978,CPI,P00742,compound,protein,0
10113978,CPI,P42262,compound,protein,0
10113978,CPI,Q8WXS5,compound,protein,0
10113978,CPI,O43463,compound,protein,0
10113978,CPI,Q05901,compound,protein,0
10126189,CPI,P08047,compound,protein,1
10126189,CPI,Q14896,compound,protein,0
10126189,CPI,P54619,compound,protein,0
10127622,CPI,P21728,compound,protein,1
10127622,CPI,P29322,compound,protein,1
10127622,CPI,P31749,compound,protein,1
10127622,CPI,P53667,compound,protein,1
10127622,CPI,Q13177,compound,protein,1
10127622,CPI,Q13873,compound,protein,1
10127622,CPI,Q7L7X3,compound,protein,1
10127622,CPI,Q99759,compound,protein,1
10127622,CPI,Q9BVS4,compound,protein,1
10127622,CPI,Q9P1W9,compound,protein,1
10127622,CPI,Q9UBF8,compound,protein,1
10127622,CPI,Q9UKI8,compound,protein,1
10127622,CPI,Q9Y5S2,compound,protein,1
10127622,CPI,P09417,compound,protein,0
10127622,CPI,P20645,compound,protein,0
10127622,CPI,Q15238,compound,protein,0
10127622,CPI,O14841,compound,protein,0
10127622,CPI,P62736,compound,protein,0
10127622,CPI,O43837,compound,protein,0
10127622,CPI,Q9Y4C1,compound,protein,0
10127622,CPI,Q9Y617,compound,protein,0
10127622,CPI,P14060,compound,protein,0
10127622,CPI,P48506,compound,protein,0
10127622,CPI,Q8NHE4,compound,protein,0
10127622,CPI,Q5QJU3,compound,protein,0
10133,CPI,P21917,compound,protein,0
10152654,CPI,Q92542,compound,protein,0
10154,CPI,P10635,compound,protein,1
10154,CPI,P42345,compound,protein,0
10168,CPI,P37231,compound,protein,1
10168,CPI,P46063,compound,protein,1
10168,CPI,Q96NZ9,compound,protein,0
10172943,CPI,O75496,compound,protein,1
10173949,CPI,O95352,compound,protein,0
10173949,CPI,P19835,compound,protein,0
1017704,CPI,Q96QE3,compound,protein,1
1017704,CPI,P49768,compound,protein,0
1017704,CPI,P14416,compound,protein,0
10184653,CPI,O14757,compound,protein,1
10184653,CPI,O76039,compound,protein,1
10184653,CPI,P11362,compound,protein,1
10184653,CPI,P19525,compound,protein,1
10184653,CPI,P31749,compound,protein,1
10184653,CPI,P42338,compound,protein,1
10184653,CPI,P42345,compound,protein,1
10184653,CPI,P49336,compound,protein,1
10184653,CPI,Q00535,compound,protein,1
10184653,CPI,Q15418,compound,protein,1
10184653,CPI,Q16566,compound,protein,1
10184653,CPI,Q96GD4,compound,protein,1
10184653,CPI,Q96SB4,compound,protein,1
10184653,CPI,Q9BZL6,compound,protein,1
10184653,CPI,Q9NYL2,compound,protein,1
10184653,CPI,Q9UKE5,compound,protein,1
10184653,CPI,Q08211,compound,protein,0
10184653,CPI,Q96BI3,compound,protein,0
10184653,CPI,P62917,compound,protein,0
10184653,CPI,O95563,compound,protein,0
10184653,CPI,P84098,compound,protein,0
10184653,CPI,P13639,compound,protein,0
10184653,CPI,P22888,compound,protein,0
10184653,CPI,Q15185,compound,protein,0
10184653,CPI,P07814,compound,protein,0
10200390,CPI,O00444,compound,protein,1
10200390,CPI,P17948,compound,protein,1
10200390,CPI,Q05655,compound,protein,1
10200390,CPI,Q9H2G2,compound,protein,1
10200390,CPI,Q9HCP0,compound,protein,1
10200390,CPI,Q92835,compound,protein,0
10200390,CPI,P37288,compound,protein,0
10204,CPI,Q7Z2K8,compound,protein,0
10204,CPI,P21452,compound,protein,0
10205,CPI,P11473,compound,protein,1
10206,CPI,P19835,compound,protein,0
10208,CPI,O75355,compound,protein,0
10212,CPI,P43220,compound,protein,1
102175,CPI,P07900,compound,protein,1
102175,CPI,O60674,compound,protein,0
10219,CPI,Q96KQ7,compound,protein,1
10223146,CPI,Q9BZL6,compound,protein,0
10251,CPI,P16444,compound,protein,0
10265481,CPI,P62937,compound,protein,0
10275777,CPI,P00747,compound,protein,1
10275789,CPI,P42338,compound,protein,1
10275789,CPI,P49761,compound,protein,1
10296883,CPI,O43293,compound,protein,1
10296883,CPI,P00519,compound,protein,1
10296883,CPI,P08631,compound,protein,1
10296883,CPI,P51957,compound,protein,1
10296883,CPI,Q05397,compound,protein,1
10296883,CPI,Q08211,compound,protein,0
10296883,CPI,Q8N6T3,compound,protein,0
10296883,CPI,P32248,compound,protein,0
10302451,CPI,P00533,compound,protein,1
10302451,CPI,P29323,compound,protein,1
10302451,CPI,P36896,compound,protein,1
10302451,CPI,P36897,compound,protein,1
10302451,CPI,P42685,compound,protein,1
10302451,CPI,P54756,compound,protein,1
10302451,CPI,Q9NYL2,compound,protein,1
10302451,CPI,Q8WW43,compound,protein,0
10302451,CPI,P49961,compound,protein,0
10313,CPI,Q9UBN7,compound,protein,1
10316032,CPI,P31644,compound,protein,0
10322450,CPI,P33527,compound,protein,1
10341154,CPI,Q15746,compound,protein,1
10341154,CPI,O75355,compound,protein,0
1034641,CPI,P54764,compound,protein,0
10365,CPI,Q96KQ7,compound,protein,1
10365,CPI,Q9H6Z9,compound,protein,1
10366136,CPI,P04629,compound,protein,1
10366136,CPI,Q9UK32,compound,protein,1
10366136,CPI,P20393,compound,protein,0
10377751,CPI,Q99798,compound,protein,0
10377751,CPI,P34981,compound,protein,0
10379137,CPI,P31751,compound,protein,0
10398360,CPI,P16444,compound,protein,0
10407195,CPI,P28221,compound,protein,0
10410310,CPI,Q9UM07,compound,protein,1
10427712,CPI,P24941,compound,protein,1
10427712,CPI,P51451,compound,protein,1
10427712,CPI,P54646,compound,protein,1
10427712,CPI,P54753,compound,protein,1
10427712,CPI,P54762,compound,protein,1
10427712,CPI,Q00535,compound,protein,1
10427712,CPI,Q08881,compound,protein,1
10427712,CPI,Q15349,compound,protein,1
10427712,CPI,Q8IWQ3,compound,protein,1
10427712,CPI,Q8IY84,compound,protein,1
10427712,CPI,Q8TBX8,compound,protein,1
10427712,CPI,Q8WTQ7,compound,protein,1
10427712,CPI,Q99759,compound,protein,1
10427712,CPI,Q8N2K0,compound,protein,0
10427712,CPI,Q6PIU2,compound,protein,0
10427712,CPI,Q9Y5K8,compound,protein,0
10427712,CPI,Q9UKP6,compound,protein,0
10427712,CPI,Q14914,compound,protein,0
10427712,CPI,P00480,compound,protein,0
10427712,CPI,P55011,compound,protein,0
10429242,CPI,P62937,compound,protein,0
10429242,CPI,P51946,compound,protein,0
10430360,CPI,Q9NR20,compound,protein,1
10430360,CPI,Q9UP65,compound,protein,0
10430360,CPI,Q8N6T3,compound,protein,0
10430360,CPI,P06702,compound,protein,0
10436840,CPI,P36888,compound,protein,1
10436840,CPI,Q08881,compound,protein,1
10437018,CPI,P00533,compound,protein,1
10437018,CPI,Q8IVH4,compound,protein,0
1046,CPI,P11473,compound,protein,1
1046,CPI,P50406,compound,protein,1
1046,CPI,O95342,compound,protein,0
1046,CPI,O60894,compound,protein,0
10461815,CPI,P11802,compound,protein,1
10461815,CPI,P15735,compound,protein,1
10461815,CPI,P22607,compound,protein,1
10461815,CPI,P51957,compound,protein,1
10461815,CPI,P54646,compound,protein,1
10461815,CPI,P54753,compound,protein,1
10461815,CPI,Q13554,compound,protein,1
10461815,CPI,Q7L7X3,compound,protein,1
10461815,CPI,Q8NEV4,compound,protein,1
10461815,CPI,Q92918,compound,protein,1
10461815,CPI,Q9BVS4,compound,protein,1
10461815,CPI,Q9NQU5,compound,protein,1
10461815,CPI,P23381,compound,protein,0
10461815,CPI,P51511,compound,protein,0
10461815,CPI,P0CG30,compound,protein,0
10461815,CPI,P49366,compound,protein,0
10461815,CPI,Q9NYV7,compound,protein,0
10461815,CPI,Q6GMR7,compound,protein,0
10461815,CPI,Q9Y617,compound,protein,0
10461815,CPI,P51553,compound,protein,0
104741,CPI,Q93008,compound,protein,0
104741,CPI,O14965,compound,protein,0
