head,relation,tail,head_type,tail_type,label
100016,CPI,P23975,compound,protein,0
10022508,CPI,Q99798,compound,protein,0
10029385,CPI,P31751,compound,protein,1
10029385,CPI,Q9P2E9,compound,protein,0
100526,CPI,P05177,compound,protein,0
10074640,CPI,P00533,compound,protein,1
10074640,CPI,P07948,compound,protein,1
10074640,CPI,P08922,compound,protein,1
10074640,CPI,P33981,compound,protein,1
10074640,CPI,P51617,compound,protein,1
10074640,CPI,P53779,compound,protein,1
10074640,CPI,Q04771,compound,protein,1
10074640,CPI,Q13627,compound,protein,1
10074640,CPI,Q15835,compound,protein,1
10074640,CPI,Q16288,compound,protein,1
10074640,CPI,Q8IY84,compound,protein,1
10074640,CPI,Q8TBX8,compound,protein,1
10074640,CPI,Q9BVS4,compound,protein,1
10074640,CPI,Q9H0K1,compound,protein,1
10074640,CPI,Q9NWZ3,compound,protein,1
10074640,CPI,Q9NY57,compound,protein,1
10074640,CPI,Q9UBF8,compound,protein,1
10074640,CPI,Q9UQ88,compound,protein,1
10074640,CPI,P50570,compound,protein,0
10074640,CPI,O00754,compound,protein,0
10074640,CPI,Q3T906,compound,protein,0
10074640,CPI,P16885,compound,protein,0
10074640,CPI,P06858,compound,protein,0
10074640,CPI,Q13003,compound,protein,0
10074640,CPI,P00338,compound,protein,0
10074640,CPI,P23921,compound,protein,0
10074640,CPI,Q8IZS8,compound,protein,0
10074640,CPI,P31644,compound,protein,0
10077147,CPI,Q8N884,compound,protein,1
10077147,CPI,P31040,compound,protein,0
10090485,CPI,O95819,compound,protein,1
10090485,CPI,P36896,compound,protein,1
10109069,CPI,P39023,compound,protein,0
10109823,CPI,P00533,compound,protein,1
10109823,CPI,Q13639,compound,protein,0
10113978,CPI,O43293,compound,protein,1
10113978,CPI,O75676,compound,protein,1
10113978,CPI,O95835,compound,protein,1
10113978,CPI,P04049,compound,protein,1
10113978,CPI,P29320,compound,protein,1
10113978,CPI,Q02750,compound,protein,1
10113978,CPI,Q13554,compound,protein,1
10113978,CPI,Q16288,compound,protein,1
10113978,CPI,Q2M2I8,compound,protein,1
10113978,CPI,Q86UE8,compound,protein,1
10113978,CPI,Q8IY84,compound,protein,1
10113978,CPI,Q99640,compound,protein,1
10113978,CPI,Q9H3Y6,compound,protein,1
10113978,CPI,Q9H4B4,compound,protein,1
10113978,CPI,Q14145,compound,protein,0
10113978,CPI,Q99798,compound,protein,0
10113978,CPI,Q16602,compound,protein,0
10113978,CPI,P32754,compound,protein,0
10113978,CPI,Q9UKM7,compound,protein,0
10113978,CPI,Q8N543,compound,protein,0
10113978,CPI,P49810,compound,protein,0
10113978,CPI,Q9NSD5,compound,protein,0
10113978,CPI,P23297,compound,protein,0
10113978,CPI,P49448,compound,protein,0
10117987,CPI,P0DMS8,compound,protein,1
10126189,CPI,P08047,compound,protein,1
10127622,CPI,O00238,compound,protein,1
10127622,CPI,O75116,compound,protein,1
10127622,CPI,P06213,compound,protein,1
10127622,CPI,P07550,compound,protein,1
10127622,CPI,P08631,compound,protein,1
10127622,CPI,P49761,compound,protein,1
10127622,CPI,P57058,compound,protein,1
10127622,CPI,P57078,compound,protein,1
10127622,CPI,Q04771,compound,protein,1
10127622,CPI,Q13523,compound,protein,1
10127622,CPI,Q13546,compound,protein,1
10127622,CPI,Q56UN5,compound,protein,1
10127622,CPI,Q86Z02,compound,protein,1
10127622,CPI,Q8TDC3,compound,protein,1
10127622,CPI,Q9BYT3,compound,protein,1
10127622,CPI,Q9UEE5,compound,protein,1
10127622,CPI,Q9UKI8,compound,protein,1
10127622,CPI,Q02224,compound,protein,0
10127622,CPI,P16444,compound,protein,0
10127622,CPI,Q15119,compound,protein,0
10127622,CPI,P29459,compound,protein,0
10127622,CPI,P51685,compound,protein,0
10127622,CPI,Q13564,compound,protein,0
10127622,CPI,A0AVT1,compound,protein,0
10127622,CPI,P08559,compound,protein,0
10127622,CPI,P13612,compound,protein,0
10127622,CPI,P13639,compound,protein,0
10127622,CPI,Q10588,compound,protein,0
10127622,CPI,P40926,compound,protein,0
10127622,CPI,Q9UGM6,compound,protein,0
10133,CPI,P49798,compound,protein,1
10133,CPI,Q08211,compound,protein,0
10135759,CPI,Q05586,compound,protein,1
10152654,CPI,P09668,compound,protein,1
10152654,CPI,Q9Y2I7,compound,protein,0
10152654,CPI,P28335,compound,protein,0
10154,CPI,P08172,compound,protein,0
10154,CPI,P50406,compound,protein,0
10158940,CPI,P09619,compound,protein,1
10168,CPI,P11168,compound,protein,0
10172943,CPI,Q16236,compound,protein,1
10173277,CPI,Q9Y2I7,compound,protein,1
10173277,CPI,P29459,compound,protein,1
10173949,CPI,P15056,compound,protein,1
1017704,CPI,P54762,compound,protein,0
10184653,CPI,O43318,compound,protein,1
10184653,CPI,O76039,compound,protein,1
10184653,CPI,P07949,compound,protein,1
10184653,CPI,P08631,compound,protein,1
10184653,CPI,P09769,compound,protein,1
10184653,CPI,P23458,compound,protein,1
10184653,CPI,P42680,compound,protein,1
10184653,CPI,P51955,compound,protein,1
10184653,CPI,P53779,compound,protein,1
10184653,CPI,P78368,compound,protein,1
10184653,CPI,Q02750,compound,protein,1
10184653,CPI,Q04771,compound,protein,1
10184653,CPI,Q13153,compound,protein,1
10184653,CPI,Q13470,compound,protein,1
10184653,CPI,Q15759,compound,protein,1
10184653,CPI,Q8IU85,compound,protein,1
10184653,CPI,Q8N568,compound,protein,1
10184653,CPI,Q8WTQ7,compound,protein,1
10184653,CPI,Q9NRM7,compound,protein,1
10184653,CPI,P25090,compound,protein,0
10184653,CPI,P05198,compound,protein,0
10184653,CPI,Q02224,compound,protein,0
10184653,CPI,P49810,compound,protein,0
10184653,CPI,Q16581,compound,protein,0
10184653,CPI,P54578,compound,protein,0
10200390,CPI,O75582,compound,protein,1
10200390,CPI,P04626,compound,protein,1
10200390,CPI,P23443,compound,protein,1
10200390,CPI,P42679,compound,protein,1
10200390,CPI,P45984,compound,protein,1
10200390,CPI,Q16288,compound,protein,1
10200390,CPI,Q16644,compound,protein,1
10200390,CPI,Q8IW41,compound,protein,1
10200390,CPI,Q9Y6M4,compound,protein,1
10200390,CPI,P34981,compound,protein,0
10201696,CPI,P30542,compound,protein,0
10202642,CPI,P01137,compound,protein,1
10202642,CPI,P09601,compound,protein,0
10202642,CPI,Q15119,compound,protein,0
10205,CPI,Q16613,compound,protein,0
10206158,CPI,P43681,compound,protein,0
10208,CPI,P46063,compound,protein,1
10208,CPI,P08908,compound,protein,0
10212,CPI,Q92847,compound,protein,0
10219,CPI,P15880,compound,protein,1
10219,CPI,P21917,compound,protein,0
10252734,CPI,Q92830,compound,protein,1
102614,CPI,O43451,compound,protein,1
102614,CPI,P05091,compound,protein,1
102614,CPI,P01258,compound,protein,0
10265481,CPI,P20618,compound,protein,0
10275777,CPI,P30613,compound,protein,0
10295295,CPI,P10600,compound,protein,0
10296883,CPI,O00444,compound,protein,1
10296883,CPI,P08684,compound,protein,1
10296883,CPI,P50613,compound,protein,1
10296883,CPI,P34981,compound,protein,0
10296883,CPI,Q9NR97,compound,protein,0
10296883,CPI,Q6J4K2,compound,protein,0
10297043,CPI,P04626,compound,protein,1
10297043,CPI,P22607,compound,protein,1
1030,CPI,P07949,compound,protein,0
10302451,CPI,P29323,compound,protein,1
10302451,CPI,P36897,compound,protein,1
10302451,CPI,O60894,compound,protein,0
10302451,CPI,Q3T906,compound,protein,0
10313,CPI,P42574,compound,protein,0
10322450,CPI,P35462,compound,protein,0
